,CZ010,CZ020,CZ031,CZ032,CZ041,CZ042,CZ051,CZ052,CZ053,CZ063,CZ064,CZ071,CZ072,CZ080,PL21,PL22,PL41,PL42,PL43,PL51,PL52,PL61,PL62,PL63,PL71,PL72,PL81,PL82,PL84,PL9,SE110,SE121,SE122,SE123,SE124,SE125,SE211,SE212,SE213,SE214,SE221,SE224,SE231,SE232,SE311,SE312,SE313,SE321,SE322,SE331,SE332
CZ010,0.0,0.9540492027585983,0.9848359720390072,0.9812186748184784,0.985004179932076,0.9449277443832649,0.9602878566817329,0.9665754229876261,0.9695359297475139,0.9837586941370681,0.9420157671068454,0.9671364292800624,0.960337461669499,0.9222822843357511,1.0181218231110096,1.0717095457648333,1.0539786398989024,0.9951265533820239,0.9810338778569149,0.9973772646914864,0.9691530722116515,0.9920207089160407,1.023701893022107,1.0068447310441901,0.9941732193021225,0.9852658701373351,1.0270849354937857,1.0059247020356008,1.0355776911769454,1.2457392736490422,1.027109594349172,1.1434392822225377,1.1183735420486904,1.096788088077992,1.1278558741935938,1.1335782859123762,1.083925015598783,1.0778167187866896,1.0873003979950255,1.1072796218215766,1.0596202516568183,1.0067124365654203,1.064341321085873,1.0713679970456047,1.1467106817361752,1.1798129626274576,1.1930060065710244,1.2481338953292853,1.2566313832155926,1.3089626960238705,1.3905502642148317
CZ020,0.9540492027585983,0.0,0.13682867990764602,0.14980972900469583,0.2058431611995385,0.1078497614545268,0.17759931769478793,0.1589302490641076,0.1700570085645463,0.16262854776916066,0.09290808199120322,0.1673263057343514,0.18593344008273316,0.1350377152544124,0.4407948217876342,0.6426484228035133,0.44062036111533626,0.22777277215737773,0.1508033618315866,0.3152893522859947,0.146637728545211,0.27246225702532334,0.3168240852892652,0.33574301666453193,0.2991486157080258,0.23138971083200421,0.34436272571223164,0.3137811620562608,0.3528730844558065,0.8078846097569361,0.5849765450280977,0.6056319687221077,0.5568609035471523,0.5064146094276909,0.5674925398343655,0.5911091092676233,0.46930723589816514,0.44503945467581735,0.4668280083628474,0.5109219605551178,0.42570260864329307,0.3453453687481774,0.44390372650857074,0.46523758914897473,0.5925434911914812,0.6527448332258713,0.6801163073624108,0.7728530564485894,0.7828022567832066,0.8668660694760318,0.9870485435536311
CZ031,0.9848359720390072,0.13682867990764602,0.0,0.052551685429412874,0.10678938673516326,0.09559679867856666,0.10407079559722379,0.09178665742187166,0.0917342543421085,0.05482668454617988,0.1354603975814089,0.11212887642702012,0.1254512721486103,0.1844217454730646,0.5632150770735165,0.7739785576801813,0.5742092263921423,0.32218977201226073,0.18715066236657862,0.44926861356465747,0.1667829157207089,0.37950295426020686,0.37548340222732784,0.44520773547367765,0.4173706072044723,0.2719519289776811,0.42967067517814805,0.3991357117249766,0.3887989988015876,0.938999070878881,0.6745159344698046,0.6151959185059753,0.5600284512835064,0.5150537412592582,0.5715270520381299,0.5954253298674823,0.46959703306951583,0.4326489172877625,0.4595321565571863,0.49655662143059903,0.4086518939084123,0.4060234824363762,0.4403190528512666,0.5349286782903483,0.5964658194865312,0.6600070227038056,0.6886417087868412,0.7832311117811185,0.7895685401753636,0.8807649529235525,1.0029665581745966
CZ032,0.9812186748184784,0.14980972900469583,0.052551685429412874,0.0,0.06421228632229345,0.07900477719596131,0.09539691001687259,0.10482353799427825,0.12004784396763409,0.08986399945203731,0.1731635869715771,0.149918168872104,0.16646217942685843,0.21757077633266786,0.5885840871644057,0.792240268654166,0.5837117111743213,0.3174131145827307,0.1807346153704599,0.4625686943346147,0.19383281426245472,0.3900650874996689,0.38740392983999333,0.44950631251758666,0.43757186234756623,0.30446680320771874,0.45989777968491674,0.4341616999500317,0.40841620598500983,0.955757659459563,0.6638041318570547,0.5949189785634814,0.538420024030526,0.4919291661071642,0.5457975263375583,0.5720534758577793,0.4430501057475991,0.4062308090240752,0.43771934988183137,0.48107561962129247,0.3843613341276738,0.3840000070645493,0.4089478097048112,0.5125891789570983,0.5668812706352847,0.6328257858396777,0.6648815211611463,0.7601139367223068,0.7618752911578871,0.8576006827107849,0.9812028630757541
CZ041,0.985004179932076,0.2058431611995385,0.10678938673516326,0.06421228632229345,0.0,0.11157252428328757,0.09154399544337802,0.12190178709142413,0.1420882587371,0.12058381945245186,0.22738597322762577,0.18035720954411388,0.19614930923246623,0.26177075832601354,0.6425842406153583,0.845159125198135,0.6294649485270893,0.3409070208780001,0.19763992675136444,0.5125516312756523,0.2274327968301225,0.42403925515738794,0.4055851725832598,0.4787938344247909,0.4831727855444648,0.3386293258730662,0.5014723456162358,0.48176937596932,0.42468846396129206,1.0055821619722487,0.6704646168239236,0.5672230765942848,0.5086641187948366,0.46447855168409447,0.5140594002414132,0.5410318545794993,0.4120151107496566,0.3716931445575108,0.40679814586557717,0.450538277809283,0.34971404353830626,0.381419944245464,0.3748056325581793,0.5100422353774601,0.5330128985623785,0.6002762981710859,0.6340153224260063,0.7291402045274857,0.7273552652159507,0.826993961793811,0.951160258260074
CZ042,0.9449277443832649,0.1078497614545268,0.09559679867856666,0.07900477719596131,0.11157252428328757,0.0,0.08366940984219318,0.08927837957706394,0.11766478073701032,0.1119889881073436,0.14451727729364586,0.1402395994673959,0.16307100687821316,0.1721807906910878,0.5350919905759766,0.7366118120780838,0.5225487930869953,0.2467482510530496,0.11527144064503954,0.4048809142145046,0.14820599996463532,0.32040266391649375,0.3240699671806047,0.3774592719635638,0.37529263853023964,0.25809363285643155,0.4048070058244179,0.38536386117654686,0.3542844593296454,0.8972546286238303,0.5886867837393712,0.5468044318452604,0.49295834439391684,0.44460128148557027,0.5018720800492911,0.5268427569806522,0.40043460390396696,0.3692027612315889,0.39679671702562375,0.4421421724640382,0.3476308357665669,0.3185978495523096,0.3696246797082588,0.44856472485955245,0.5254289827525406,0.5891240867235719,0.6191900025794405,0.7137799010165893,0.7190570097634194,0.8102234011955484,0.9327830843546542
CZ051,0.9602878566817329,0.17759931769478793,0.10407079559722379,0.09539691001687259,0.09154399544337802,0.08366940984219318,0.0,0.043063440815412614,0.07414782840295378,0.08205561123633175,0.1770215409030105,0.11151556007778006,0.13199234420943973,0.19148930946158807,0.5881389444392847,0.7992940431027534,0.5851245123147595,0.2887322756264629,0.1381830371511616,0.4690692815442525,0.1478746266578543,0.35826011368203436,0.32527773570584667,0.4174036900644107,0.4204382554864152,0.25576263660438947,0.424734808518294,0.40980131785179524,0.33797222413521083,0.9559949841835073,0.6139067951839038,0.52245397387672,0.4664523240303603,0.42432788402091287,0.4797765491660799,0.5020050798673087,0.37923511388648584,0.3404165332629262,0.3661311526999746,0.40098669554285693,0.31371721482447007,0.3421876718464098,0.35192184912741287,0.47425928056086547,0.5071255289906869,0.5693665695573561,0.5964229783285251,0.6905444388466919,0.6978790653214509,0.7884430533529332,0.9102222133805642
CZ052,0.9665754229876261,0.1589302490641076,0.09178665742187166,0.10482353799427825,0.12190178709142413,0.08927837957706394,0.043063440815412614,0.0,0.03725340871658753,0.056999442642002726,0.14246250430747007,0.07053176693892509,0.09417899770171358,0.15598161605262564,0.5581929296581905,0.7744668778649003,0.5656495102355569,0.2816347860027639,0.13454060393303224,0.4471063397692948,0.11195011978498133,0.33850581068563085,0.3066655555653382,0.40293258324704767,0.3933423770152344,0.21961965432736757,0.3909494443525674,0.37300461994362305,0.3145953614993371,0.9314066317769465,0.6148541348269335,0.5382042478915918,0.48404597038135844,0.4424396410810635,0.5004259212461193,0.5208897339195064,0.40100690867706684,0.36363700623994644,0.38497445369652034,0.4153619711804975,0.3362546826710268,0.3534085743438929,0.37810180607493726,0.48461055125913477,0.5305667680016645,0.5905630089322474,0.6148726052359467,0.7082662783512764,0.7194654119090319,0.8057918200463245,0.9262753841125836
CZ053,0.9695359297475139,0.1700570085645463,0.0917342543421085,0.12004784396763409,0.1420882587371,0.11766478073701032,0.07414782840295378,0.03725340871658753,0.0,0.041897140222733026,0.13361986349867896,0.040693596787511756,0.059940563022134546,0.14865655297643257,0.5580540120563915,0.7786206558789864,0.5779944193981188,0.30664701291438123,0.1645114561714629,0.4567009922860781,0.11216879685375529,0.35256500954185493,0.3183413910467326,0.42092455290374625,0.39919516687937245,0.21193544366223505,0.38760748642745285,0.36512948049248245,0.3174269182966542,0.9377627780967966,0.6402163142145098,0.5645960497429355,0.5110439853499421,0.4713967742330377,0.5296319876188712,0.5486052769888862,0.43144997323801226,0.3931791012016921,0.41231316083734815,0.43748995132108265,0.36454477054059414,0.38618978507054297,0.41065301343641847,0.5167625052077216,0.5614626904443702,0.6201332154781348,0.6425546018979784,0.7351960089920009,0.748446033434369,0.8326453393091572,0.9520700093057661
CZ063,0.9837586941370681,0.16262854776916066,0.05482668454617988,0.08986399945203731,0.12058381945245186,0.1119889881073436,0.08205561123633175,0.056999442642002726,0.041897140222733026,0.0,0.13632458200497982,0.06810983559169699,0.08158205887607349,0.1689063078463101,0.5691621829697908,0.7871751125843599,0.5872710418265282,0.3229794816706938,0.18048914273522773,0.46373320090584974,0.13998652727106264,0.37381453069064957,0.35008878350672407,0.4418291599631773,0.41614841821198995,0.2419788986558973,0.41208582364147534,0.3853550713694652,0.3531848963053402,0.9488337954589231,0.6662954011036101,0.5912684497364201,0.5365511287755869,0.4951652934008336,0.5522578924026844,0.5733419425053945,0.4521822926087301,0.41324884210824064,0.4360585962259879,0.46537752894610945,0.38627806503646533,0.40386907473523914,0.4276306687998819,0.5341925445951525,0.5811679616218339,0.6421200581780547,0.6671970613449416,0.7607657438025331,0.7709006876527863,0.8585236339931518,0.9792096482624638
