,CZ010,CZ020,CZ031,CZ032,CZ041,CZ042,CZ051,CZ052,CZ053,CZ063,CZ064,CZ071,CZ072,CZ080,PL21,PL22,PL41,PL42,PL43,PL51,PL52,PL61,PL62,PL63,PL71,PL72,PL81,PL82,PL84,PL9,SE110,SE121,SE122,SE123,SE124,SE125,SE211,SE212,SE213,SE214,SE221,SE224,SE231,SE232,SE311,SE312,SE313,SE321,SE322,SE331,SE332
CZ010,0.0,1.1079228726486805,1.2228883044100882,1.1945365170764084,1.4387277828581788,1.1916969522743976,1.203684702151334,1.2082675794839446,1.2466028648741079,1.2218849859687575,1.4198472028981797,1.4462653353240151,1.423953500177202,1.4043124077733482,1.4543383407722084,1.508444836385692,1.5062577063293054,1.4396626173452558,1.4385102519122872,1.4678127731758825,1.4460352598094517,1.4456744600723261,1.4472578722714162,1.442886405063547,1.4506041950523376,1.444728579139585,1.4495398614401387,1.4347392676689508,1.4415015895129344,1.6280704436663413,1.372511686990153,1.4598507093725077,1.466477190287041,1.4588920207136222,1.474746834695029,1.465710022064016,1.4686923071884515,1.4754459722564381,1.4696335660679436,1.4481814102975834,1.4577292245846485,1.4239591555537081,1.4571027146762632,1.4460651590421512,1.4647328136305875,1.47690522631849,1.4754407882979068,1.4668999640821858,1.477751460568461,1.4618904317754169,1.4561223802181578
CZ020,1.1079228726486805,0.0,0.47933585941282286,0.5790138938000745,0.7059758491135624,0.47069104988271016,0.49039013906481455,0.48351833268294986,0.6064576804926559,0.486304784760525,0.6345915507250399,1.0434070991840156,1.1437343305601033,1.153524347952056,1.1997906149358477,1.323771182067925,1.2665641283690385,1.1375004161483258,1.136698591022113,0.7943936694013015,1.1863013900549548,1.1778135033658654,1.1530610340981864,1.1674399029406302,1.1896759227170806,1.1847216319907576,1.162898379529799,1.1450967454636491,1.1356010509632855,1.4077488026421185,1.1372968424191658,1.1666841783691113,1.1854479797339652,1.1644486965746954,1.2007504880639415,1.186084387271332,1.1836061768643202,1.1888366940589021,1.1712447107118242,1.0927895311139593,1.1565875429163919,1.135087448212681,1.1680345010119217,1.1552354032219727,1.1528177666185826,1.1862017030588505,1.1861422697930142,1.1541059543735162,1.1754944551038518,1.1343225597724125,1.113267797481719
CZ031,1.2228883044100882,0.47933585941282286,0.0,0.36062040879748836,0.8048238776076576,0.6670860541073254,0.8882411660319223,0.88734499750639,0.5574847357761232,0.22310901599405877,0.45663898270779274,0.9401516669476859,0.8516175261227531,1.115786406286619,1.2135885515806828,1.350050391703751,1.2620777606557596,1.1147894527893403,1.098541284520627,1.2103386122408983,1.1336471282122587,1.1535468010180596,1.1190124283283978,1.1530285945111773,1.1743870260176779,1.1376734894508815,1.144509465075827,1.1319993438583125,1.1011198636289177,1.4404161516947271,1.1374153011823558,1.1097550579573323,1.1222456559796168,1.109200133340607,1.1333027613209437,1.1224802306579258,1.1216406742055187,1.1235256082949818,1.1112932263328053,1.0524607739230407,1.0999083659533229,1.1053409336848021,1.110184426047127,1.1276223480690488,1.098394385128159,1.1225297906602656,1.1224977953780764,1.0988781984336433,1.1130861876318334,1.0848748456568775,1.0693892867678936
CZ032,1.1945365170764084,0.5790138938000745,0.36062040879748836,0.0,0.45609327390292653,0.36467521702509975,0.8516687032186874,0.8510750091423562,0.9046130719576229,0.6057930497684633,0.859085245622751,1.1165486595082512,1.0854667165758027,1.104278531749806,1.2083635110431399,1.3445919928163315,1.2522267326689827,1.1060779356479578,1.0883121787067336,1.200265818348233,1.119232155872489,1.1428440838391942,1.1082770359245624,1.1441593228696145,1.1646064085308727,1.1238161163176057,1.1353209142084122,1.1241554506851157,1.0912824159829613,1.4356870678893001,1.1313003142554412,1.0968475330993575,1.1078333741094073,1.096454261811825,1.1176543105824694,1.1080194274138642,1.107376274208616,1.1089850211241024,1.0981729592565035,1.046073298725156,1.0880001658380303,1.0957987050753801,1.0971561636554372,1.1175073601706853,1.0867864535180956,1.1081712229091079,1.1081277070218298,1.087209423303527,1.0997938960851659,1.0748426292614808,1.0611290277745868
CZ041,1.4387277828581788,0.7059758491135624,0.8048238776076576,0.45609327390292653,0.0,0.2625121568178438,0.802864414268168,1.0835317255565529,1.1005311902659942,1.0831775897179763,1.0954312114909912,1.101623786891555,1.0745397553399174,1.0974233706373584,1.2213884016486434,1.3622102412217114,1.2602673693482411,1.1056881909228988,1.0815592675292505,1.20526184477481,1.107626395199748,1.142509536220023,1.1038029347916558,1.1472685041571031,1.1677224356540334,1.1145926304035798,1.137058002471526,1.127382601672208,1.0861421447838455,1.4566811313774033,1.138000511871271,1.0826754584263292,1.0914045155276466,1.083035070075651,1.0999199499254988,1.0913859258401628,1.0915708257705785,1.0917449058326427,1.082794428524069,1.0367051490510257,1.0733403304213296,1.092277707420922,1.0825009532759537,1.115605367093227,1.07332539836797,1.0917341258204847,1.091673928817079,1.0734188398720976,1.083421720681476,1.0630319263874835,1.0511029574636555
CZ042,1.1916969522743976,0.47069104988271016,0.6670860541073254,0.36467521702509975,0.2625121568178438,0.0,0.44939611866322876,0.6673627524197353,0.9418024596445339,0.8894751627339651,1.1106990096370395,1.132136796761567,1.0971079250085354,1.1114824653099995,1.197787837495229,1.3283629812153306,1.2475278746341179,1.109389530386985,1.0972661667252706,1.0189390428732576,1.1321334943861174,1.1456603887991446,1.1154292580387157,1.1437376068323502,1.1640813131920134,1.1346255431710761,1.1366281894832084,1.1236789122945925,1.0989971712642792,1.4186469977109277,1.124631164690082,1.112595252460117,1.125534079906803,1.1115900414577133,1.1366783645335607,1.1258346307016476,1.1247180959768002,1.1276840803276573,1.1152606733105788,1.0578497769863742,1.1040208620952796,1.1012478205424197,1.1131361065368577,1.1222208253223476,1.1022607993529678,1.1263531456128697,1.1262554513543093,1.103025003471284,1.1179666063860645,1.0889968800626004,1.0737352255959998
CZ051,1.203684702151334,0.49039013906481455,0.8882411660319223,0.8516687032186874,0.802864414268168,0.44939611866322876,0.0,0.22292783907183614,0.5569264440119158,0.8874092039934738,1.1174193992649637,0.9406364450468514,1.0965285469556423,1.118793173709535,1.22887821041066,1.3687629754849624,1.1192731928005855,1.1224842689942858,0.8583104199777636,0.725928824092576,0.9458420215637623,1.1628625609769054,1.1251307587006094,1.1635984290139298,1.185771330046708,1.1420757471272078,1.1545372604390953,1.1417162301242267,1.1057379821867994,1.4634921649658321,1.1461416891979777,1.1093333931295097,1.1212622134223964,1.1093295353988584,1.1325091660621436,1.12130920219594,1.1212207145394275,1.122196161636777,1.1102498821846607,1.050139241953297,1.0979577964842808,1.1104500197285556,1.109291297708645,1.135348785505545,1.0976394670566048,1.1218866308026583,1.1217931014869844,1.0979344952876948,1.1115156762141059,1.0841600354901508,1.0685466870361304
CZ052,1.2082675794839446,0.48351833268294986,0.88734499750639,0.8510750091423562,1.0835317255565529,0.6673627524197353,0.22292783907183614,0.0,0.3650999232769664,0.6654576166715233,0.8949507829335716,0.7484375837755299,1.0962687613711162,1.116532381509356,1.2197637729062214,1.3574508761734219,1.1085506368825375,1.117984216475616,0.8556480679191103,0.5755379354832482,0.9436443700416766,1.157349658792913,1.1215584512942776,1.1573551254457584,1.1790482057918776,1.1393456446986974,1.1487028639869086,1.1359647657561558,1.1030097679696833,1.4502375913226013,1.1403029651311165,1.1094784708179908,1.1217195061839118,1.1091712293497378,1.1328950944696816,1.1218592551210451,1.1213979056952204,1.1229156869325545,1.1108128319710837,1.0514305517287048,1.0989439905927256,1.1072653483819865,1.1096628052288282,1.130838607392034,1.0980554081814864,1.1222553386490823,1.1221815984178216,1.0984698601954093,1.112428152226413,1.0845840144890162,1.069049786210626
CZ053,1.2466028648741079,0.6064576804926559,0.5574847357761232,0.9046130719576229,1.1005311902659942,0.9418024596445339,0.5569264440119158,0.3650999232769664,0.0,0.3653644019770773,0.38618565993494264,0.49726486931715425,0.6927212812556284,0.9500479860574732,1.240839897724842,1.3821058746117434,1.159285782026476,1.1390711762594528,0.9095279490503336,0.8016696876895106,0.8328841956014269,1.183473000987538,1.1450928560148323,1.1811170568670013,1.2051317398745076,1.1675298674217789,1.1724506987094672,1.1571883100775209,1.1237889471906577,1.4759897710980037,1.1587927576917114,1.1320856099067835,1.1466738147149218,1.1318749812999098,1.1601858742028475,1.146787755836829,1.1464287336548635,1.1477329363308548,1.1332339929685844,1.0605823133467727,1.1186383166210052,1.1281923682210033,1.1322140187757368,1.1544992194284192,1.1178952135212843,1.1471789239478685,1.147107378277813,1.1182594531228724,1.1346857288508094,1.1015178690903245,1.082636488763648
CZ063,1.2218849859687575,0.486304784760525,0.22310901599405877,0.6057930497684633,1.0831775897179763,0.8894751627339651,0.8874092039934738,0.6654576166715233,0.3653644019770773,0.0,0.25729070585613567,0.748856814663555,0.851513706531036,1.11816857585816,1.22390235980998,1.3631741061784803,1.27251608332899,1.1194494620523272,1.1003899708577005,1.0436105466118801,1.1352978741080888,1.1594751451114491,1.1225726447333473,1.159820860358845,1.1817620903442776,1.1403672219713952,1.1507454156144112,1.1382021180534327,1.1036964705557935,1.4554479057475713,1.1442080377324428,1.1090052714548553,1.121148254658904,1.1087928350663447,1.132266133014501,1.1212865348624723,1.1208355271523074,1.12207636317173,1.1100128640785893,1.0503026179201385,1.0982037719627413,1.108583370857387,1.1092052595191801,1.1322953893807894,1.0972630463030462,1.121454763523058,1.121411501411441,1.097600084873796,1.1113655866945886,1.0837024397450679,1.0681109101698971
