,CZ010,CZ020,CZ031,CZ032,CZ041,CZ042,CZ051,CZ052,CZ053,CZ063,CZ064,CZ071,CZ072,CZ080,PL21,PL22,PL41,PL42,PL43,PL51,PL52,PL61,PL62,PL63,PL71,PL72,PL81,PL82,PL84,PL9,SE110,SE121,SE122,SE123,SE124,SE125,SE211,SE212,SE213,SE214,SE221,SE224,SE231,SE232,SE311,SE312,SE313,SE321,SE322,SE331,SE332
CZ010,0.0,1.0632824228309559,1.1550777276118165,1.1333458248393606,1.316495993418225,1.1220028421630603,1.1347271099057443,1.1395873355710335,1.1683278259244332,1.1540154551381745,1.2918159044234228,1.3173262883773058,1.2982451361316691,1.2747217696304158,1.331501735734014,1.3869206665824056,1.381353672694925,1.315456314213446,1.3141950417192205,1.3409472275180399,1.3170736890934507,1.3183769398317535,1.3218841099714862,1.317096590710312,1.323780813306405,1.3156389311937857,1.3243821432076988,1.3100662689398077,1.3174686696050681,1.5146875913633016,1.243789531409066,1.335659516867579,1.3411556436919998,1.334611621201238,1.348533780197237,1.3403167460543144,1.3435773904651953,1.3509566714082557,1.3463450782979456,1.332055331424358,1.3352046116722307,1.298251339112678,1.3326554590217445,1.32057816714465,1.3428473770867668,1.352550242505467,1.350951009751233,1.3452109007315358,1.3552016936809592,1.3417703611403642,1.3377972729345875
CZ020,1.0632824228309559,0.0,0.4061736612852668,0.48905796311372063,0.5982462128377889,0.3959346428926586,0.4191618607350355,0.4111011494065042,0.5125651565353442,0.4143748552745807,0.5292918507887159,0.8727458290015553,0.9565400600336549,0.9618687404558155,1.0229067343778513,1.1555578530258055,1.0793435904534003,0.9490773752887774,0.9481162135408704,0.6823834452259193,0.9894671271289638,0.9849814505497407,0.9613130608201575,0.9785136583236174,0.9991359318475312,0.9875725557797622,0.9730907941507169,0.9581686824452477,0.9468000921505759,1.2463911500659997,0.9557997639777424,0.9776118987638447,0.9940979438020366,0.9749429826930127,1.0067452220936146,0.994856765039525,0.991900897835802,0.9981365108826534,0.9830499605402901,0.9207357524289714,0.9718721170898963,0.9461840109816885,0.9792229818085408,0.9639200638047092,0.9673827942334293,0.994996627911781,0.9949257728121337,0.9689175514293388,0.9881094405619968,0.9522587624442956,0.9351177525953276
CZ031,1.1550777276118165,0.4061736612852668,0.0,0.3006811410365946,0.6718359662430503,0.5567418669558017,0.7408759505323519,0.7398012906470779,0.4650031599423765,0.18647502066779303,0.38535744678061506,0.783774366802354,0.7101331176826491,0.9326638260029307,1.0517131969190607,1.1998192815516433,1.0930253745395209,0.9359802348855281,0.9165677442732976,1.0364417153820484,0.9457524435108591,0.9734477234975941,0.9365208607574286,0.9769122005793756,0.9980556773658952,0.9505750058265808,0.9668425019249893,0.9564130857227233,0.9196566914475085,1.2977251493154882,0.967555665933748,0.9254397854762345,0.9361439849770815,0.9247742663392173,0.9453396331057611,0.9364251793184121,0.9354186497370364,0.9376780048280212,0.9272837444782438,0.879421634090525,0.9182057991213736,0.9247064700353306,0.9259546250859197,0.9467917763400631,0.9163916746277642,0.9364845856518031,0.9364462338395578,0.9169715213891765,0.9294317451955181,0.9052092741768519,0.89242125590859
CZ032,1.1333458248393606,0.48905796311372063,0.3006811410365946,0.0,0.38130774086189384,0.3055324585802701,0.7101944903140558,0.7094824206538894,0.7541243627853687,0.5050162217928711,0.7190716885519435,0.9307841606227897,0.9049381934072029,0.9234362737782825,1.0491985112045015,1.1976133445660844,1.0868618449444096,0.9295609398100192,0.9083493487720654,1.0297166014548624,0.9340015328443406,0.9656307243989373,0.928214126375884,0.9707749647346013,0.9912911694997324,0.9394897061233746,0.9603421547995465,0.9509997993681668,0.9119059450002763,1.296485866302126,0.9636041189683543,0.9145370341938907,0.9239290452884373,0.914065328240452,0.9321101880036359,0.9241521235508343,0.9233809119843908,0.9253096092738878,0.9161262601236785,0.8737268455451441,0.9079754963416246,0.9173058067722661,0.9149071665984084,0.939215723932295,0.9065207866583523,0.9243341144958551,0.9242819434601259,0.9070278227338044,0.9180686738540861,0.8966488581022402,0.8853200982743312
CZ041,1.316495993418225,0.5982462128377889,0.6718359662430503,0.38130774086189384,0.0,0.2260156408497837,0.669487385443875,0.9035991365668241,0.9176619791079131,0.9031744516891483,0.9178343741794431,0.9189720207913056,0.8962857707585723,0.920211091944566,1.0679335769326415,1.2215509947670276,1.1016986965752018,0.9334017744812096,0.9046894197661025,1.0409566377241388,0.9261591863687115,0.9705143645926596,0.92780995800402,0.9791197168618486,1.000072886472176,0.9344791805609887,0.967135616292403,0.9590015785239955,0.9101633126719461,1.323954125210884,0.9749544698413439,0.9025721841467371,0.9097988283357693,0.903003522878244,0.9169288431476444,0.9097765278621948,0.9099983292294904,0.9102071362819167,0.9027148906268878,0.8646541106616209,0.8948474517856589,0.9174764777295512,0.9023628500553966,0.9418204363911218,0.894829541220047,0.9101942062043789,0.9101220019238729,0.8949416198002407,0.9034672236230598,0.8863001352608638,0.8763797662583676
CZ042,1.1220028421630603,0.3959346428926586,0.5567418669558017,0.3055324585802701,0.2260156408497837,0.0,0.376746695712705,0.5570733759157721,0.7857537618009935,0.742354948905226,0.9265715287494635,0.9439415234453883,0.9148493182828227,0.9275105274723363,1.033440457741765,1.1753631175542862,1.076192358937064,0.9295421486830312,0.9150390793217417,0.8767290769008343,0.9439375626670337,0.9640891943731434,0.9322365244771399,0.965928683269634,0.9859084906655852,0.9469250214875087,0.9574999472628151,0.9465504603461824,0.9171140924077542,1.2735192095987748,0.9524944387810983,0.9288437455660714,0.940083620363265,0.9276394386551157,0.9493837883077368,0.9404434400487705,0.9391065134804083,0.94265668897435,0.932034804775864,0.8858639176136957,0.9231281276115554,0.9198098924753098,0.9294915274258565,0.9403521088760253,0.9210224458916596,0.9410641088021879,0.9409471770237418,0.9219368928125382,0.9352709986280935,0.9101453752576161,0.8976244125630795
CZ051,1.1347271099057443,0.4191618607350355,0.7408759505323519,0.7101944903140558,0.669487385443875,0.376746695712705,0.0,0.18625821256646688,0.46433368623521043,0.7398783010575442,0.9346168315058796,0.7843558012422022,0.9141544346195908,0.9362588709430053,1.0693199390585204,1.2208367340894104,0.985395128073606,0.9451319538485868,0.7181458146314338,0.6575799310969362,0.7905910642979359,0.9844691889365643,0.9438229346941229,0.9893653581382877,1.0114266633841473,0.9558393616497646,0.9786923896825952,0.9678943259339254,0.9251810424433405,1.323291800782895,0.9777991465706763,0.924934097648394,0.9349648119007162,0.9249294708185398,0.9443881004743926,0.9350211629545855,0.9349150437103654,0.9360846507853684,0.9260331034965597,0.8766419778621194,0.9158683305511929,0.9308075646239459,0.9248836094625892,0.9559808432334475,0.9154866878804514,0.93571355692722,0.9356014166232529,0.9158403965695423,0.9275503255080654,0.9043524655081967,0.89141139420551
CZ052,1.1395873355710335,0.4111011494065042,0.7398012906470779,0.7094824206538894,0.9035991365668241,0.5570733759157721,0.18625821256646688,0.0,0.3043567659210344,0.5547896379918195,0.748907009525802,0.6239323117745968,0.9138428055219194,0.9335561401647848,1.058832913041728,1.2081403600027776,0.9731986399712348,0.93978305173833,0.7149617123762273,0.5390538026629477,0.7879605309298627,0.9779511649114808,0.9395615294114779,0.9820149664215838,1.0035362075304985,0.9525756511672706,0.9718028491479861,0.9611032333133883,0.9219186646784769,1.308617952034909,0.9709486348945372,0.9251080937323186,0.9355131740371853,0.9247395978856024,0.9448508708660472,0.9356807343022492,0.9351275373665755,0.9369471106753363,0.9267079667036624,0.8781884393273985,0.9170503642144612,0.9270059480788099,0.9253291572131127,0.9506200417878703,0.9159853467619566,0.9361555925005288,0.9360671920707546,0.9164821382895213,0.9286435816535259,0.9048606985618614,0.89201440388623
CZ053,1.1683278259244332,0.5125651565353442,0.4650031599423765,0.7541243627853687,0.9176619791079131,0.7857537618009935,0.46433368623521043,0.3043567659210344,0.0,0.30467397856911244,0.3293545975456419,0.41468941159880973,0.5775170975725118,0.7956181728717484,1.076736688518783,1.228690510451718,1.014556849395238,0.9576854333243727,0.7600130490284606,0.7133012390602775,0.6960714119991758,1.000036032302967,0.9594422973785682,1.0021623496844343,1.0255760490040557,0.9762847294047475,0.991933724604208,0.9791644548270054,0.9394572062869522,1.3298690484152647,0.9867802503246238,0.9438801307691954,0.9562031997387804,0.9436274934504243,0.9674901261753579,0.9563398343554878,0.95590928606605,0.9574730361615713,0.9452571903574079,0.8855876069025214,0.9332898413833051,0.9447202042555851,0.9440341399627258,0.9706494324748189,0.9323990310110775,0.9568088656508158,0.9567230838321028,0.9328357031735353,0.9469971364056766,0.9188450484588001,0.9031981491857273
CZ063,1.1540154551381745,0.4143748552745807,0.18647502066779303,0.5050162217928711,0.9031744516891483,0.742354948905226,0.7398783010575442,0.5547896379918195,0.30467397856911244,0.0,0.22626048624354456,0.6244351381342063,0.7100086101171338,0.9355124114179797,1.0635978856665942,1.2145673682423501,1.1050617076780624,0.9415256630253135,0.9187826533028485,0.905284526649752,0.947730518690416,0.9804656344690853,0.9407719439821953,0.9849197612008544,1.0067233415484744,0.9537972919072567,0.9742163617174581,0.9637466148253555,0.9227401449830428,1.3143897745523776,0.975531871815717,0.9245405345332754,0.9348281431195555,0.9242857020288042,0.9440966418087031,0.9349939793964133,0.9344530631179079,0.935941030745178,0.9257489218467231,0.8768376811415322,0.9161631955056938,0.9285798652714468,0.9247804148150137,0.9523525380306449,0.915035337475145,0.9351957200886923,0.9351438412038612,0.9154394695232315,0.9273704627436785,0.9038038378022976,0.8908889761173875
