,CZ010,CZ020,CZ031,CZ032,CZ041,CZ042,CZ051,CZ052,CZ053,CZ063,CZ064,CZ071,CZ072,CZ080,PL21,PL22,PL41,PL42,PL43,PL51,PL52,PL61,PL62,PL63,PL71,PL72,PL81,PL82,PL84,PL9,SE110,SE121,SE122,SE123,SE124,SE125,SE211,SE212,SE213,SE214,SE221,SE224,SE231,SE232,SE311,SE312,SE313,SE321,SE322,SE331,SE332
CZ010,0.0,1.1080109586178633,1.2182488427511877,1.1884876755216474,1.4283542443959576,1.1892096950014015,1.194176200552004,1.2018070753807364,1.2406632392726025,1.2147606651553704,1.4229335604769877,1.4452340960914818,1.423705086116771,1.410018221118368,1.4140445549780416,1.382573526701187,1.4555121069719665,1.450728046172251,1.4427595754072178,1.4375905877778876,1.450614467724917,1.453660528243027,1.478024666448376,1.4535162733329194,1.444862584593308,1.4623279947779482,1.4715161727955661,1.4514775750937887,1.481063978460978,1.457414831228293,1.4541359951731272,1.55473166882334,1.5395194549505316,1.522369430301549,1.5513204592174918,1.5501095084409728,1.5161392899103743,1.5079982818128717,1.5108081275938567,1.493951253054835,1.483333547204731,1.4609534264854847,1.496435964508214,1.5092943103728254,1.549714582475889,1.584503809905423,1.594338773866585,1.6253765546758263,1.6341960572088345,1.667786888406639,1.7262487950122085
CZ020,1.1080109586178633,0.0,0.4626512895569192,0.563171668563954,0.681859060486418,0.46351318446162854,0.4644344620937286,0.464822231351844,0.5913704973597683,0.46353084359911784,0.6398499789104665,1.0404082972574553,1.1415816970049684,1.1603016801582589,1.154574782319807,1.1846944470865426,1.2117624317819837,1.1553992348706361,1.143529580292789,0.7433167565215669,1.1920382696069993,1.1917467106164628,1.1951771847669073,1.186112888501657,1.1863678779163207,1.2069519277547565,1.193103356803428,1.167846488135385,1.188345299705951,1.2156437135922726,1.2440354329083936,1.289775583323959,1.2801785254049425,1.2483835757216601,1.2992596775887983,1.2948203707226373,1.2464818624160967,1.2326492414705084,1.2266433311796352,1.1570928036365984,1.1919939990040989,1.186379871946723,1.220790988698289,1.2406778123404167,1.265086178584937,1.3244361294724765,1.338121837393088,1.3578735053469548,1.3748356759657732,1.3987537396961043,1.4589767837354528
CZ031,1.2182488427511877,0.4626512895569192,0.0,0.3640268202182825,0.806705750165485,0.6711406342568033,0.8922547837752137,0.8915434744009636,0.5636928918682454,0.22712400991441192,0.4524468815176633,0.9465500035656804,0.8600594047777051,1.1186512032530433,1.1187067093959755,1.1407995302733198,1.1604207772745518,1.1244082166981293,1.109715900920606,1.1395385702454095,1.1417203901316746,1.1507853793860796,1.1606952030415805,1.1522799397201486,1.142965667974627,1.1578177056670285,1.1546426920567483,1.1320726214804842,1.1584154473154538,1.1699024037980066,1.2322704955565913,1.2670295651990762,1.250902620776633,1.2220576225747355,1.266085845544082,1.2669302478892868,1.213712420203819,1.1981834980578345,1.197861706666622,1.1532761262652163,1.1663763460770633,1.1605579259050998,1.1915469191957027,1.213689145985017,1.2461412973711712,1.2986526091210804,1.3134314272564447,1.3451976663387397,1.3577319819011184,1.3937700807822835,1.4622653104102936
CZ032,1.1884876755216474,0.563171668563954,0.3640268202182825,0.0,0.45448863438996323,0.3660093913036052,0.8558592793316652,0.8573391645298527,0.9122794198059495,0.6121586847973844,0.8609597573602525,1.1263278687972538,1.0977992519635704,1.1110623545591012,1.1155568383292793,1.1321715967676138,1.143631372756644,1.110069716493883,1.0968843086671938,1.1254284034831812,1.1302849371561206,1.13802264085645,1.1511169144926228,1.1386655288545722,1.1333661719626995,1.149958731470731,1.1514287112893133,1.1313558100278647,1.153631025122521,1.1600169152158322,1.2148889459565497,1.2466797150366264,1.229434570703891,1.2013179058697325,1.2415771927630104,1.2443507504814675,1.1912466238648662,1.176601139371188,1.1786814629023448,1.1428467266097344,1.1484659356917724,1.1410378979868383,1.1690780725704715,1.1904413536942102,1.2229949176293664,1.2735334477513238,1.289757474114206,1.323369460424048,1.3322770636879382,1.3723486288612654,1.4423240811652132
CZ041,1.4283542443959576,0.681859060486418,0.806705750165485,0.45448863438996323,0.0,0.24702619510445134,0.8069471254033136,1.0882095734029715,1.1080882818910853,1.088383203218586,1.0935447777339047,1.1125854327197644,1.0893657565223656,1.1000938927994834,1.1073296505991332,1.1191930590353973,1.1236762366974475,1.0936520011690891,1.082452841535603,1.1087282421652078,1.1152026455152693,1.1208933155985934,1.1355776451658377,1.1209355879671727,1.1189434774115439,1.1362871219852888,1.140988246951923,1.1241044564079805,1.1415651872911745,1.1439349589206094,1.1932747318094648,1.2219316558788276,1.2040127499130175,1.1774438950050121,1.2139314304013156,1.218033543990669,1.1664087429839594,1.1527061392767315,1.156298082548544,1.128236860787622,1.128184907018391,1.1202569190452405,1.1454568893215125,1.1657148569281446,1.1980310506841325,1.2454861207784558,1.262093121793139,1.2972012699854607,1.3037205399755252,1.346402959648485,1.4171064421051112
CZ042,1.1892096950014015,0.46351318446162854,0.6711406342568033,0.3660093913036052,0.24702619510445134,0.0,0.4454496758247008,0.6692174566849444,0.9454458102154343,0.8920335806037784,1.1160903498438652,1.1396037615900283,1.107328660036178,1.1195545271319693,1.120517179415185,1.13831676577058,1.1516151255977087,1.1110058047152789,1.1016064082730843,0.9447073636516866,1.1406959778754446,1.140558035372975,1.1491855154308006,1.137046188919233,1.1385668733777254,1.15765426851926,1.153728536972723,1.1354570779378046,1.1499313066303034,1.163227159607594,1.1965983985761897,1.233413675982997,1.2200041718815584,1.192607469509564,1.2339281196423821,1.2337479780658276,1.1866232160158914,1.1737868576611499,1.1724923685894448,1.126986421724659,1.143126111794304,1.1367087463628842,1.1650246717690675,1.1837517528481736,1.211300539641894,1.2617870902178085,1.276093017682665,1.303523716448024,1.3149648424474605,1.3480525253520894,1.412802714588469
CZ051,1.194176200552004,0.4644344620937286,0.8922547837752137,0.8558592793316652,0.8069471254033136,0.4454496758247008,0.0,0.22489129390009593,0.5613843787142165,0.8906462132456908,1.1140976173975303,0.9457588957200261,1.1037580629176624,1.115562634100073,1.1135756671852106,1.1331924766672006,0.9676301276849076,1.1078144026167867,0.8551027745813666,0.5592741326620794,0.9456147484642342,1.1343325646025781,1.1398538388951072,1.1307972165111362,1.1319206162877486,1.1497041783248942,1.1429347605004343,1.1259238732378627,1.1383219585203461,1.1544374712857524,1.1892665442462902,1.2255824787140221,1.2133097367241057,1.1871125925558794,1.2287514194008855,1.2273201083819896,1.1827413354000162,1.1700941822681037,1.1670090808574562,1.1185056152658648,1.138958902484383,1.1345677103580942,1.163036980749315,1.1810991410991403,1.207437166530812,1.2564316572395096,1.2689193212246845,1.295034408864486,1.3087521934586812,1.338758162886663,1.4017388733937854
CZ052,1.2018070753807364,0.464822231351844,0.8915434744009636,0.8573391645298527,1.0882095734029715,0.6692174566849444,0.22489129390009593,0.0,0.3668738447640449,0.6676078390407538,0.8905548262761626,0.7514214871401101,1.1002008473284297,1.1125995088988327,1.1084731041248674,1.1303175616665608,0.968352905156386,1.1103661040046917,0.8569614193065004,0.3678341522423004,0.9427896725694541,1.1338681041687633,1.138002330673065,1.1319504164394918,1.1292299006920923,1.1448685808251358,1.1366089665695318,1.1189020156794578,1.1340465626481213,1.151130435391529,1.1960576339883087,1.2320164667844224,1.2195331773876383,1.1936058770713927,1.236344042433592,1.2344538175697009,1.1894579082645038,1.1760608404153983,1.1722052547778585,1.1221886440490798,1.1441992119802045,1.1410956452483791,1.1706729070113753,1.1894335036314259,1.2167688193408563,1.2655229377920887,1.2770438318940385,1.3038038516569057,1.3192851198320397,1.348385389417366,1.411521259818361
CZ053,1.2406632392726025,0.5913704973597683,0.5636928918682454,0.9122794198059495,1.1080882818910853,0.9454458102154343,0.5613843787142165,0.3668738447640449,0.0,0.36743277933521007,0.36822679562325356,0.4979129139773217,0.6949457426349133,0.9423964851109484,1.1251878201506444,1.153743988243518,1.0256949708528855,1.1354770432217354,0.91434807828454,0.6659091500993426,0.8305459126594045,1.1613327606804225,1.1623901814843647,1.1587709182283426,1.1541631265742807,1.1699492967795868,1.1559918153640594,1.1343535328012146,1.1536236725708144,1.1781502522626728,1.2228953689499846,1.2642927353508473,1.2537773277515707,1.2257314250130436,1.273736747420506,1.2694107010548301,1.2238533637389817,1.2097728013626075,1.203194605362185,1.1401523048465383,1.172437160232592,1.1699845948888234,1.2032216612367472,1.2227144677897888,1.2488183808380389,1.3019999795496089,1.3128235296790869,1.3357214253950618,1.3546802366985906,1.3785997562616423,1.439293352412906
CZ063,1.2147606651553704,0.46353084359911784,0.22712400991441192,0.6121586847973844,1.088383203218586,0.8920335806037784,0.8906462132456908,0.6676078390407538,0.36743277933521007,0.0,0.22786034235976013,0.7509898920514032,0.8547038437299711,1.113565976105644,1.1102056736352446,1.133732061190864,1.1554750539332603,1.1199875684136198,1.1067711934533895,0.9452301133878523,1.136410894996768,1.1428661578307064,1.1492786375069803,1.1440458804039624,1.1347840945782959,1.1484188974084313,1.1419403623151914,1.1209453975254442,1.1444897865366253,1.1590598766827642,1.2210326371474562,1.25627987550298,1.2415901724192608,1.2142180952052901,1.2584855412049527,1.2577895377667498,1.2078794211908548,1.1927482026757885,1.1903199172280723,1.1422651211645758,1.1603651735447618,1.1566205169333663,1.1878432439494515,1.2090003513862826,1.239969835275636,1.2906699378238602,1.3033239729343642,1.3333726984671166,1.3484691063171659,1.3808263024528784,1.4470999819066206
