,CZ010,CZ020,CZ031,CZ032,CZ041,CZ042,CZ051,CZ052,CZ053,CZ063,CZ064,CZ071,CZ072,CZ080,PL21,PL22,PL41,PL42,PL43,PL51,PL52,PL61,PL62,PL63,PL71,PL72,PL81,PL82,PL84,PL9,SE110,SE121,SE122,SE123,SE124,SE125,SE211,SE212,SE213,SE214,SE221,SE224,SE231,SE232,SE311,SE312,SE313,SE321,SE322,SE331,SE332
CZ010,0.0,0.9538145709762573,0.9761607845774173,0.9711274761136974,0.9657989938085086,0.9405735504900165,0.9465551297778674,0.9556089487780589,0.9562550587402898,0.9716331331812155,0.9370214682476107,0.953790302544272,0.943202425285557,0.9134205224526757,0.9139743315087844,0.8557950873330168,0.9553539485227673,0.9717317381535244,0.972490915243787,0.9439615608938802,0.959544908073919,0.9555258708125599,0.9776725617657889,0.9516256420750137,0.9473812484510786,0.9589467129300427,0.9676358469537175,0.954294778082054,0.9779341996516484,0.9420662520838455,0.8580286445403829,0.9826485658124854,0.9818081905759388,0.9837313864028461,0.9869641949329351,0.9798861298534375,0.9873566736477885,0.9916360000198612,0.9923904482422224,0.9935457792106697,0.9796718528153081,0.951774013911984,0.9769050156207857,0.972595144318117,0.9946915236923752,0.9969824196950863,0.9947911915302569,0.9965467078331199,0.9999603190387562,0.9990599833587397,1.0
CZ020,0.9538145709762573,0.0,0.022346213601159834,0.017312905137439973,0.011984422832251372,0.01324102048624091,0.007259441198390095,0.001794377801801628,0.0024404877640325385,0.017818562204958078,0.01679310272864675,2.4268431985368892e-05,0.010612145690700374,0.0403940485235817,0.039840239467472886,0.09801948364324062,0.0015393775465098948,0.017917167177266984,0.018676344267529583,0.009853010082377336,0.005730337097661621,0.0017112998363025204,0.02385799078953141,0.0021889289012437378,0.006433322525178798,0.005132141953785299,0.013821275977460157,0.0004802071057966105,0.02411962867539098,0.011748318892411833,0.09578592643587454,0.028833994836228064,0.02799361959968145,0.029916815426588708,0.03314962395667775,0.026071558877180056,0.03354210267153108,0.0378214290436038,0.038575877265965154,0.03973120823441238,0.02585728183905085,0.0020405570642733333,0.023090444644528228,0.018780573341859653,0.04087695271611789,0.04316784871882882,0.04097662055399951,0.042732136856862515,0.046145748062498895,0.04524541238248234,0.04618542902374263
CZ031,0.9761607845774173,0.022346213601159834,0.0,0.005033308463719861,0.010361790768908464,0.03558723408740075,0.029605654799549932,0.020551835799358206,0.019905725837127297,0.004527651396201758,0.039139316329806585,0.022370482033145202,0.03295835929186021,0.06274026212474154,0.06218645306863273,0.12036569724440044,0.02080683605464994,0.00442904642389285,0.003669869333630253,0.03219922368353717,0.016615876503498214,0.020634913764857314,0.001511777188371578,0.024535142502403573,0.028779536126338635,0.017214071647374537,0.008524937623699679,0.021866006495363223,0.0017734150742311464,0.03409453249357167,0.11813214003703436,0.006487781235068229,0.005647405998521617,0.007570601825428875,0.01080341035551791,0.0037253452760202207,0.011195889070371244,0.01547521544244396,0.016229663664805317,0.01738499463325255,0.003511068237891015,0.02438677066543317,0.0007442310433683912,0.0035656402593001817,0.01853073911495805,0.02082163511766898,0.018630406952839677,0.020385923255702685,0.023799534461339054,0.02289919878132251,0.0238392154225828
CZ032,0.9711274761136974,0.017312905137439973,0.005033308463719861,0.0,0.0053284823051886025,0.030553925623680884,0.02457234633583007,0.015518527335638346,0.014872417373407436,0.000505657067518103,0.034106007866086724,0.01733717356942534,0.027925050828140348,0.05770695366102167,0.05715314460491286,0.11533238878068058,0.015773527590930078,0.0006042620398270108,0.0013634391300896083,0.02716591521981731,0.011582568039778352,0.015601605301137453,0.006545085652091439,0.01950183403868371,0.02374622766261877,0.012180763183654676,0.003491629159979817,0.01683269803164336,0.006806723537951007,0.029061224029851805,0.11309883157331452,0.01152108969878809,0.010680714462241479,0.012603910289148736,0.01583671881923777,0.008758653739740082,0.016229197534091105,0.020508523906163825,0.02126297212852518,0.02241830309697241,0.008544376701610876,0.019353462201713308,0.005777539507088252,0.0014676682044196792,0.023564047578677912,0.02585494358138884,0.02366371541655954,0.025419231719422543,0.02883284292505892,0.02793250724504237,0.02887252388630266
CZ041,0.9657989938085086,0.011984422832251372,0.010361790768908464,0.0053284823051886025,0.0,0.02522544331849228,0.019243864030641468,0.010190045030449743,0.009543935068218833,0.005834139372706705,0.02877752556089812,0.01200869126423674,0.022596568522951745,0.05237847135583307,0.05182466229972425,0.11000390647549199,0.010445045285741477,0.005932744345015613,0.00669192143527821,0.021837432914628706,0.0062540857345897505,0.01027312299594885,0.011873567957280041,0.014173351733495109,0.01841774535743017,0.006852280878466073,0.0018368531452087852,0.01150421572645476,0.01213520584313961,0.023732741724663203,0.10777034926812591,0.016849572003976694,0.01600919676743008,0.017932392594337338,0.021165201124426374,0.014087136044928684,0.021557679839279708,0.025837006211352424,0.026591454433713784,0.027746785402161012,0.013872859006799479,0.014024979896524705,0.011106021812276854,0.006796150509608282,0.028892529883866515,0.031183425886577444,0.028992197721748138,0.030747714024611145,0.03416132523024752,0.03326098955023098,0.03420100619149126
CZ042,0.9405735504900165,0.01324102048624091,0.03558723408740075,0.030553925623680884,0.02522544331849228,0.0,0.005981579287850814,0.015035398288042538,0.015681508250273448,0.031059582691198986,0.0035520822424058404,0.013216752054255541,0.0026288747955405356,0.027153028037340793,0.02659921898123198,0.0847784631569997,0.014780398032750804,0.031158187663507895,0.031917364753770494,0.0033880104038635736,0.01897135758390253,0.01495232032254343,0.03709901127577232,0.011052091584997172,0.0068076979610621115,0.01837316244002621,0.027062296463701067,0.01372122759203752,0.03736064916163189,0.0014927015938290772,0.08254490594963362,0.042075015322468975,0.04123464008592236,0.043157835912829616,0.046390644442918655,0.03931257936342097,0.046783123157771986,0.0510624495298447,0.05181689775220606,0.05297222872065329,0.03909830232529176,0.011200463421967576,0.03633146513076914,0.03202159382810056,0.05411797320235879,0.056408869205069725,0.054217641040240426,0.05597315734310342,0.059386768548739796,0.05848643286872325,0.05942644950998355
CZ051,0.9465551297778674,0.007259441198390095,0.029605654799549932,0.02457234633583007,0.019243864030641468,0.005981579287850814,0.0,0.009053819000191723,0.009699928962422635,0.025078003403348172,0.009533661530256655,0.007235172766404727,0.0033527044923102787,0.033134607325191606,0.03258079826908279,0.09076004244485052,0.00879881874489999,0.02517660837565708,0.025935785465919677,0.002593568883987241,0.012989778296051717,0.008970741034692616,0.031117431987921506,0.005070512297146358,0.0008261186732112969,0.012391583152175393,0.021080717175850253,0.007739648304186705,0.03137906987378108,0.004488877694021737,0.08852648523748444,0.03609343603461816,0.03525306079807155,0.0371762566249788,0.04040906515506784,0.033331000075570154,0.04080154386992117,0.04508087024199389,0.04583531846435525,0.04699064943280248,0.03311672303744095,0.005218884134116762,0.030349885842918322,0.026040014540249748,0.04813639391450798,0.05042728991721891,0.04823606175238961,0.04999157805525261,0.05340518926088898,0.05250485358087244,0.05344487022213272
CZ052,0.9556089487780589,0.001794377801801628,0.020551835799358206,0.015518527335638346,0.010190045030449743,0.015035398288042538,0.009053819000191723,0.0,0.0006461099622309107,0.01602418440315645,0.01858748053044838,0.0018186462337869969,0.012406523492502002,0.04218842632538333,0.04163461726927451,0.09981386144504224,0.00025500025529173314,0.016122789375465355,0.016881966465727954,0.011647387884178965,0.003935959295859993,8.307796549910762e-05,0.022063612987729783,0.003983306703045366,0.008227700326980426,0.0033377641519836704,0.012026898175658529,0.0013141706960050174,0.022325250873589355,0.013542696694213461,0.09758030423767618,0.027039617034426436,0.026199241797879823,0.028122437624787083,0.031355246154876115,0.024277181075378428,0.03174772486972945,0.03602705124180217,0.03678149946416353,0.03793683043261076,0.02406290403724922,0.0038349348660749612,0.0212960668427266,0.016986195540058025,0.039082574914316257,0.041373470917027186,0.03918224275219788,0.04093775905506089,0.04435137026069726,0.04345103458068072,0.04439105122194101
CZ053,0.9562550587402898,0.0024404877640325385,0.019905725837127297,0.014872417373407436,0.009543935068218833,0.015681508250273448,0.009699928962422635,0.0006461099622309107,0.0,0.015378074440925538,0.019233590492679288,0.0024647561960179074,0.013052633454732912,0.042834536287614244,0.04228072723150542,0.10045997140727314,0.0009011102175226438,0.015476679413234445,0.016235856503497043,0.012293497846409875,0.0032898493336290823,0.0007291879277300183,0.021417503025498875,0.004629416665276276,0.008873810289211337,0.00269165418975276,0.011380788213427619,0.001960280658235928,0.021679140911358443,0.014188806656444371,0.09822641419990708,0.026393507072195527,0.02555313183564891,0.02747632766255617,0.030709136192645207,0.023631071113147516,0.03110161490749854,0.03538094127957126,0.03613538950193262,0.037290720470379846,0.023416794075018312,0.004481044828305872,0.020649956880495687,0.016340085577827113,0.03843646495208535,0.040727360954796274,0.03853613278996697,0.04029164909282998,0.04370526029846635,0.042804924618449806,0.043744941259710096
CZ063,0.9716331331812155,0.017818562204958078,0.004527651396201758,0.000505657067518103,0.005834139372706705,0.031059582691198986,0.025078003403348172,0.01602418440315645,0.015378074440925538,0.0,0.034611664933604826,0.017842830636943446,0.02843070789565845,0.05821261072853978,0.05765880167243096,0.11583804584819869,0.016279184658448183,9.860497230890766e-05,0.0008577820625715051,0.027671572287335414,0.012088225107296456,0.016107262368655558,0.006039428584573336,0.020007491106201813,0.024251884730136876,0.012686420251172779,0.00399728622749792,0.017338355099161467,0.006301066470432905,0.02956688109736991,0.11360448864083261,0.011015432631269988,0.010175057394723375,0.012098253221630632,0.015331061751719667,0.008252996672221978,0.015723540466573004,0.02000286683864572,0.020757315061007076,0.021912646029454304,0.008038719634092773,0.01985911926923141,0.005271882439570149,0.000962011136901576,0.02305839051115981,0.02534928651387074,0.023158058349041433,0.02491357465190444,0.028327185857540817,0.02742685017752427,0.028366866818784555
