,CZ010,CZ020,CZ031,CZ032,CZ041,CZ042,CZ051,CZ052,CZ053,CZ063,CZ064,CZ071,CZ072,CZ080,PL21,PL22,PL41,PL42,PL43,PL51,PL52,PL61,PL62,PL63,PL71,PL72,PL81,PL82,PL84,PL9,SE110,SE121,SE122,SE123,SE124,SE125,SE211,SE212,SE213,SE214,SE221,SE224,SE231,SE232,SE311,SE312,SE313,SE321,SE322,SE331,SE332
CZ010,0.0,1.1078659058472928,1.217081351728875,1.1873750318552083,1.4270017418717162,1.1887286247334934,1.193467114372316,1.2006604858843708,1.2384845163121214,1.213452959481715,1.4197396809958704,1.4413098350202418,1.4180907089605388,1.404275108614785,1.3988207613674368,1.373087626878466,1.4472660372255848,1.4372240655898147,1.4377374669971374,1.4348245634027155,1.4451243994581118,1.437363589832271,1.4468915535958553,1.4294204743503673,1.4319621606383794,1.4447272744493738,1.4401286963834814,1.4254925349682908,1.441424900098495,1.4335783629135472,1.356384690902692,1.4502585058294546,1.4549679455800428,1.4509924088124697,1.4634740931694687,1.4536716366024893,1.458717793330923,1.4616177188713888,1.4568769102431909,1.4300672708165885,1.4426043750710813,1.4238062429044818,1.446373029125749,1.4434655675105403,1.4528460589756595,1.4652502669388874,1.463760197002774,1.454116840102155,1.4620438329576302,1.4497196712510145,1.4433636498030142
CZ020,1.1078659058472928,0.0,0.4612951048216041,0.5613716234663405,0.6786405150287739,0.4609437548048386,0.46081072031429443,0.46075702953049086,0.586769355537027,0.46109795231503475,0.6339418460566024,1.0351689977071403,1.1350943492357084,1.1533245217438344,1.1357437249271956,1.1731329633236476,1.1996684853331836,1.1351861472508964,1.1351983834845234,0.7362984478638293,1.184651095805073,1.1690321034984303,1.1528638154717283,1.1526190024068028,1.169048552499659,1.1846483532719494,1.1526997878759082,1.135044842563297,1.1353009823470224,1.1846954904217815,1.1198316059967113,1.152977524740935,1.1693659706016448,1.153005112367151,1.1851009575548304,1.169321536894417,1.1695119508215648,1.1696425056220106,1.153262273555481,1.0662058981899678,1.1353392281845898,1.1350465752134615,1.1528481868543667,1.152769917734917,1.1357805638828442,1.1698275914107372,1.1697487823865693,1.135848845379978,1.1535402911748536,1.1166445403205336,1.094496850363583
CZ031,1.217081351728875,0.4612951048216041,0.0,0.3604346401444514,0.8022527765318579,0.6661686189875303,0.8874504866479519,0.8871945950073751,0.5570098614331526,0.2217853502671877,0.4452020372220446,0.9401514823825763,0.851558225346196,1.1104694456133495,1.0979430326928628,1.1268328895039663,1.1423951468351645,1.096189474746847,1.0961866702503134,1.131958968388362,1.1316229069177601,1.1205758606452354,1.1086966828757114,1.1089670970623753,1.1207554244768902,1.1316318484258487,1.1087284264917294,1.0963985909939864,1.0961819616717696,1.132014466892971,1.0888497596636306,1.108714634364809,1.1204000861251482,1.1087214993682308,1.1315524865353492,1.1203920465587716,1.1204417913157305,1.1204927229070778,1.1088144349403155,1.0467696173972132,1.0961861501103334,1.0964517603055008,1.108695901962835,1.108701385829294,1.0963371454008526,1.1205793145885303,1.1205407408291568,1.0963700716275189,1.108951066093502,1.0826647541666086,1.0668738622861242
CZ032,1.1873750318552083,0.5613716234663405,0.3604346401444514,0.0,0.45303761891154476,0.3616923250402012,0.8512749014930484,0.851061679549854,0.9045408375842792,0.605660049785436,0.8516034156108776,1.1164946254479795,1.0854656470128026,1.0976984288019995,1.0866104841751703,1.1125190039495405,1.125942704842189,1.0851065512260907,1.0851072395608783,1.116690493385064,1.1164200942966065,1.1066347113365782,1.096200066703034,1.0963539891952854,1.1067794981726145,1.1164264606585532,1.096186088019609,1.0852369336251841,1.0851277315903827,1.1167382082694945,1.0788769559765903,1.0962410700212755,1.106576274781112,1.096252984784133,1.116472334063772,1.1065593921079664,1.1066437372070652,1.1067147662337524,1.0963867301628936,1.041498155386761,1.0851400226488686,1.085278959014852,1.0961957526173411,1.0961815096705023,1.0853622099186326,1.1068267490238102,1.1067777309262847,1.0854040720959055,1.096559656801528,1.0732960287800652,1.0593318962493352
CZ041,1.4270017418717162,0.6786405150287739,0.8022527765318579,0.45303761891154476,0.0,0.24302517190674747,0.8024166480376427,1.0824705232141607,1.0997569173772606,1.082438281747295,1.0828050344301252,1.0997810687988896,1.0731704176611825,1.083689116338902,1.0741833810185972,1.0968173861715804,1.1078820119284554,1.0729488980792738,1.0729533644322853,1.0999322997797862,1.0997332877615935,1.091335446242116,1.082487680403732,1.0825153488561619,1.0914425007816215,1.0997368523314048,1.0824241177280252,1.072994169328774,1.073001120062286,1.0999715603834117,1.0679516366303174,1.0825536959830369,1.091404514169484,1.0825710911131767,1.099919159011782,1.091378012684119,1.0915000012498588,1.0915929049138944,1.0827491408718442,1.0357270693666398,1.073022179011733,1.073024156529182,1.0824795334463886,1.0824438942834709,1.0733214424007167,1.09173253373636,1.091672142493856,1.0733729838000412,1.0829614918136763,1.0630204811883261,1.0510642148260472
CZ042,1.1887286247334934,0.4609437548048386,0.6661686189875303,0.3616923250402012,0.24302517190674747,0.0,0.4435185984315324,0.6653872863945043,0.9400161068092204,0.8875001797929553,1.1087013423089174,1.1315781009916575,1.0961836794425621,1.1090281042791184,1.0965031995137793,1.1235888249755732,1.142301276919508,1.0966232629084691,1.096645095856617,0.9398914032877719,1.1316599438513313,1.1204856231463902,1.1093161793586976,1.1087507374868986,1.1204065353907284,1.131650073656636,1.1090258865505473,1.0962664001875528,1.0968170158232056,1.1315018975976445,1.0855654094102531,1.1094937386320503,1.1211443954004061,1.1095353297439505,1.1324515035977705,1.1210753492477354,1.1213621718281395,1.1215488547302406,1.109905869901588,1.0479649091850085,1.0968775799232398,1.0962377472402645,1.1092907754542478,1.1091579831658924,1.097515604953786,1.1218049831943704,1.1216969342896035,1.097608647212885,1.110285025310168,1.0840015034304722,1.0682616873869015
CZ051,1.193467114372316,0.46081072031429443,0.8874504866479519,0.8512749014930484,0.8024166480376427,0.4435185984315324,0.0,0.22192389146836297,0.556738570995897,0.8873109813984469,1.1087366413407251,0.9399131444366124,1.0961856543126973,1.1091906740285609,1.0966646052961653,1.124055979522069,0.9609337303959227,1.0964696118465138,0.8513153485491058,0.5566601067188425,0.9399750558924109,1.1204217661173128,1.1091322480763335,1.10870724686199,1.1203861576558276,1.1315687639034755,1.1088960482326495,1.0962078499305759,1.0966295610276457,1.131509817072735,1.086036617798092,1.1092830050416005,1.1209403365435464,1.1093187653717864,1.1322222434909714,1.1208815349361252,1.1211285500676966,1.121292443859541,1.109642701759475,1.0476795860384158,1.096680657911993,1.0961929505543944,1.1091109794425518,1.1090014118596039,1.0972369208665174,1.121520116343493,1.1214237278781412,1.097319874043115,1.1099811545198999,1.083695232184476,1.067945637188714
CZ052,1.2006604858843708,0.46075702953049086,0.8871945950073751,0.851061679549854,1.0824705232141607,0.6653872863945043,0.22192389146836297,0.0,0.365039020479919,0.6654103637452217,0.8871512643783169,0.7482718909160644,1.09625073314398,1.1094980452732446,1.0969709154980831,1.1248232157682811,0.9608934800624096,1.096299088949174,0.8510876326790923,0.3652242197053474,0.9398935381921397,1.120385856165935,1.1089151690582155,1.1087028077359726,1.1204160632762266,1.1315058359454255,1.1087608828909261,1.0961813149010347,1.0964078460682922,1.1315819549386485,1.0868120869703897,1.1090253333620053,1.1206921343819232,1.10905226236066,1.1319352753450416,1.1206488483533517,1.120835571272223,1.1209649451324988,1.1093056061573703,1.0473125593493007,1.0964446048224457,1.0961872352928446,1.1089001630499962,1.1088257662898457,1.0968770194308368,1.1211495100522717,1.1210707863207474,1.0969446878534912,1.1095823958559092,1.0832943224331733,1.0675308404284798
CZ053,1.2384845163121214,0.586769355537027,0.5570098614331526,0.9045408375842792,1.0997569173772606,0.9400161068092204,0.556738570995897,0.365039020479919,0.0,0.3653622232639356,0.36554479892086483,0.49675936144475197,0.6926001223128406,0.9408608658344417,1.11716038730438,1.1500399817263047,1.015361256101959,1.1164672850883306,0.9045642824562234,0.6624517409141731,0.8279286142050226,1.145644048310348,1.1317035943854157,1.1315103833406404,1.1456781826599205,1.1590940343817957,1.1315581462962392,1.1163617306980327,1.1165704886918255,1.1591777507231253,1.104093573511376,1.131808699968591,1.1459287570614933,1.1318344687677797,1.159497644060948,1.1458875081070758,1.1460659074258093,1.1461900212092746,1.132077772276922,1.0570655755337846,1.1166055782198114,1.1163690029867368,1.1316893287595269,1.1316188910166323,1.1170215006457398,1.146367511596622,1.1462917548531417,1.1170868757860632,1.132344676274313,1.1005482507342144,1.0814673916417443
CZ063,1.213452959481715,0.46109795231503475,0.2217853502671877,0.605660049785436,1.082438281747295,0.8875001797929553,0.8873109813984469,0.6654103637452217,0.3653622232639356,0.0,0.22442417275206705,0.7484823858088562,0.8513950098861278,1.1102228412337638,1.0976958984636156,1.1263582523605251,1.1423216530115656,1.0961805315806716,1.096180862761073,0.9402925540876168,1.1315654825485209,1.1205016303851323,1.1087121014253278,1.108876164794655,1.1206483006312422,1.1315720310116415,1.1087028580492264,1.0963176394873377,1.0961986368957992,1.1318871483354018,1.088367849786625,1.1087503726742969,1.1204320557658607,1.1087616591857572,1.1316047709175925,1.1204162493237944,1.1204961800557516,1.1205643999683783,1.108889947324747,1.0468546020931093,1.0962100022837316,1.0963604027470588,1.1087081860858587,1.108696069540596,1.0964230193983107,1.1206725864950429,1.1206251627824644,1.0964636037258506,1.1090574730860192,1.082769979598842,1.0669846338961317
