,CZ010,CZ020,CZ031,CZ032,CZ041,CZ042,CZ051,CZ052,CZ053,CZ063,CZ064,CZ071,CZ072,CZ080,PL21,PL22,PL41,PL42,PL43,PL51,PL52,PL61,PL62,PL63,PL71,PL72,PL81,PL82,PL84,PL9,SE110,SE121,SE122,SE123,SE124,SE125,SE211,SE212,SE213,SE214,SE221,SE224,SE231,SE232,SE311,SE312,SE313,SE321,SE322,SE331,SE332
CZ010,0.0,0.9539830474830543,0.9776160307018401,0.9724875646796988,0.9677962454052831,0.9411814699121203,0.947449026906162,0.9570491664777792,0.959075134441464,0.9732658086203023,0.941853697606146,0.9597101089426846,0.9516226817699941,0.9222254898062944,0.9371080832472856,0.8709334975482033,0.9678004329371671,0.9915953913643961,0.9799003769024528,0.9481606397488717,0.9677934876171994,0.9798696504068207,1.0231839447491766,0.987450265586207,0.9667696151484295,0.9852639570250769,1.0137594966073378,0.9926916476048837,1.0354709385197702,0.9779569985360357,1.0054577154683118,1.131167110644957,1.1032387559308139,1.0862583267709918,1.1130754996352168,1.1179691805124605,1.0703709388929252,1.0588080177100858,1.0699951722163552,1.08348103944215,1.0387145750817806,1.0064961354044197,1.0496042425773062,1.067856631522432,1.1314878891807778,1.1651900806398023,1.178529476199469,1.2330849527563836,1.2381216513572295,1.2953558701290215,1.377184184017673
CZ020,0.9539830474830543,0.0,0.04186162035342488,0.04820752352248768,0.06724920906243631,0.0505039770680841,0.058357082776857326,0.061366817489919775,0.07366644100761202,0.05066579218411286,0.08836141482189042,0.10428121488124667,0.12199265103303597,0.13331997479207583,0.21146244096329245,0.1920099020750079,0.17078081291468988,0.21591856777261198,0.13904437052224244,0.10237908969482909,0.13262674759919882,0.23157524004591742,0.31610556731546513,0.2798892834143981,0.20207823061586594,0.23101422874363287,0.30817178118070676,0.27484332958883373,0.3519062194712544,0.2728080943951332,0.5502511029026467,0.5787877694277419,0.5217508279295184,0.4795161924607763,0.5335825407368959,0.5567105728971502,0.4325319674538127,0.39088492172886957,0.4196761711462237,0.4512729858968893,0.36403726406936404,0.3452110029093038,0.40224975424160014,0.45908132257181195,0.5586738540651096,0.6224933177064632,0.6511043858287385,0.7453146265118853,0.7494313595044886,0.8436018860978454,0.9658276212023295
CZ031,0.9776160307018401,0.04186162035342488,0.0,0.051261391087879485,0.08527611978110534,0.08896950745543268,0.09709133696770712,0.09032106781568257,0.0888027506899897,0.04916374592754581,0.08963934811880517,0.11212732891864138,0.1250480789097904,0.14891093106331582,0.22336730636784796,0.21484670925359806,0.20479900694227754,0.2503639145019185,0.17279361290999393,0.1351067613701483,0.15241762737098746,0.26275945199751843,0.34352191373243895,0.3139156102077927,0.2260664910462365,0.2454537093772261,0.3224805376619126,0.28280147137550793,0.374585905348185,0.29728322909866917,0.5889414042241132,0.6133171039023951,0.5563208668305745,0.5140221626969756,0.5680484593571671,0.5914793261155309,0.4667262357766966,0.42471076654987405,0.45350481711767276,0.4843773627511852,0.39852482055016086,0.3811600074609136,0.43655241551895213,0.4937968144211759,0.5926688661642036,0.6566842006491876,0.6854470470504445,0.7797082873932072,0.7837283238009204,0.8780412527176823,1.0002841137356748
CZ032,0.9724875646796988,0.04820752352248768,0.051261391087879485,0.0,0.03667734129252405,0.06383634466717573,0.09181474996189881,0.10471525833991194,0.1195023085230546,0.08896299880195507,0.13109746788658222,0.14951520645912897,0.16645520487688947,0.18123964142778118,0.2588652104127745,0.2396154216245461,0.20098394547466553,0.2340916766902277,0.16031008770236452,0.14258127611946242,0.1768738762371864,0.2658920022393852,0.35136647924563474,0.30813542235211944,0.24519768657628846,0.2759445832389635,0.3523866187695349,0.3201719951879585,0.39167420101925376,0.31524525772802253,0.5698868401475434,0.5938001042356433,0.5358286940756732,0.4914803789264596,0.5433730344086186,0.5692203580132845,0.4412159840967038,0.39999158356465214,0.43321847016957676,0.47104438555438355,0.3761889725433356,0.3528620442340811,0.4063641121845594,0.46426163797126324,0.5641459972082518,0.6304684514663319,0.6626291329140583,0.7575294491977645,0.7571990665177889,0.8556615094202442,0.9792590624208841
CZ041,0.9677962454052831,0.06724920906243631,0.08527611978110534,0.03667734129252405,0.0,0.05096106237209696,0.08753006598612179,0.1120780042473147,0.13596120712096274,0.11375148543440483,0.15556858390844347,0.16873693868764267,0.1885036101762544,0.19638731212811403,0.2738518115001871,0.24836582740912924,0.18802880506698275,0.21187392295204388,0.1432480845052962,0.14108197741810738,0.18521001577049612,0.2559185530304886,0.34336276966289314,0.2913039576825119,0.24723872365276645,0.2859619432145858,0.36085396363710087,0.3353008924566364,0.38985501972024095,0.31498095119887515,0.543137492330395,0.5669906304595846,0.5086641158807231,0.4633956509018591,0.5140577079410789,0.5410158917426369,0.4118274353913677,0.3712464469296357,0.40667758617315414,0.4482830979651737,0.3487363531237183,0.3221667646338929,0.3747437640365736,0.43272685501732855,0.5330049324061287,0.6002734026119908,0.6340122466555059,0.7290726948787943,0.7266695602158236,0.8269792498909508,0.9511174445842231
CZ042,0.9411814699121203,0.0505039770680841,0.08896950745543268,0.06383634466717573,0.05096106237209696,0.0,0.0418622243608365,0.07306043141197191,0.10238851837075566,0.09503703209392124,0.12826386812061719,0.13565550973373744,0.15673229802428765,0.15555156724491395,0.23226493767036502,0.2012476072892961,0.14691375163508208,0.18089264777071892,0.10920133082880537,0.09532906995224294,0.1445441034155144,0.21356069923825752,0.3023595537214205,0.2523251604307693,0.202657507530322,0.2446816080375488,0.3191919295281156,0.2960591625765267,0.34746260500222703,0.2698205120811408,0.5101069798241201,0.5404657685298403,0.48285165383757395,0.43943887763904954,0.49222381934965614,0.5165942446318881,0.3909094485851811,0.35001589595804056,0.38148696603049004,0.4179401881660114,0.3242307193533957,0.3008239118892259,0.3578776839665825,0.4148037647150581,0.5154000865766327,0.5803810827771676,0.6108591736101896,0.7053809830502414,0.7070547982465971,0.8034967420583167,0.9264771883382772
CZ051,0.947449026906162,0.058357082776857326,0.09709133696770712,0.09181474996189881,0.08753006598612179,0.0418622243608365,0.0,0.03752135533380708,0.07272326210828027,0.08098645388774577,0.10957851952602575,0.10524028446276033,0.12911279317793,0.12358778843783531,0.19605871175095402,0.16988445891374668,0.11398179241524732,0.16012808170850124,0.08447246527241903,0.05407224474944775,0.10393690948511178,0.1773299391618221,0.2646898654927586,0.22247762970688828,0.1611825728250731,0.20377777491350269,0.2776577346497786,0.2570852392367313,0.30686337864928304,0.22897938553420044,0.4926624774160264,0.5223469756603062,0.4656780620072108,0.4242997269094137,0.47909887765540465,0.5010490880582977,0.3789625399285359,0.33742545188965195,0.3642858021587261,0.3945002123114269,0.3092177767446222,0.2926296999514319,0.35135305526086447,0.4071721158868672,0.5062536548277083,0.5686440446526224,0.5957279446044038,0.6895668002807599,0.6954324228374537,0.7878037966942382,0.9095165415460741
CZ052,0.9570491664777792,0.061366817489919775,0.09032106781568257,0.10471525833991194,0.1120780042473147,0.07306043141197191,0.03752135533380708,0.0,0.03665172515853927,0.05644509770478934,0.07997516582158191,0.06875126235114501,0.09396891171366983,0.0931215230362198,0.1646234323377921,0.14951030204341326,0.11996305232651569,0.17692127296912177,0.10157616094468291,0.045264716291572096,0.07394589470591369,0.1743342130981145,0.25659940660100905,0.22826672146460777,0.1410521493006969,0.1744412544426872,0.2503475458975402,0.22434342557340586,0.2906025776906942,0.21167655320244946,0.508837171609833,0.537269508979091,0.48166036888502917,0.4421413129645658,0.4982492098859901,0.5182776938260812,0.399431665918267,0.3575676727052462,0.38060361293540806,0.4048246027172785,0.3279940374497341,0.3169976711448705,0.37585769389640755,0.4307505199202793,0.5281236707690709,0.588458873909802,0.6128429560530839,0.7058985305990085,0.7150574650060659,0.8040550738502965,0.9245218964858893
CZ053,0.959075134441464,0.07366644100761202,0.0888027506899897,0.1195023085230546,0.13596120712096274,0.10238851837075566,0.07272326210828027,0.03665172515853927,0.0,0.04187813648124654,0.048351876903734846,0.03396294665507987,0.05852373038975629,0.0687514639095745,0.14066968240708894,0.1364750405538318,0.14523258876566988,0.20748119099505666,0.13438552825171016,0.06887537466402358,0.06596624837318057,0.19024727939111827,0.2661890642048098,0.24991143395758078,0.13997417272422066,0.15902710931743516,0.23669127799661596,0.20124181054579202,0.29084000214710204,0.21105989995593438,0.5348821297975571,0.5640406054105549,0.5093700362899062,0.47129949093488793,0.5281226810052561,0.546720929029268,0.43048496166687533,0.3886521287769331,0.4091246048133035,0.428894212016789,0.3582585988185314,0.3501489414667948,0.40920416659693903,0.4633965403770774,0.5597210709380998,0.6186309021001883,0.6410973922620239,0.7334112456136516,0.7448920912405547,0.8313621938373863,0.9507403720266637
CZ063,0.9732658086203023,0.05066579218411286,0.04916374592754581,0.08896299880195507,0.11375148543440483,0.09503703209392124,0.08098645388774577,0.05644509770478934,0.04187813648124654,0.0,0.05246040082132034,0.06386159019629525,0.08033369641212468,0.10403429237889474,0.1759115962020231,0.17344718728580633,0.17461057578548686,0.22969633281249652,0.15274399027358407,0.10037726782221026,0.10552443393988317,0.22556284029066986,0.3027132925402562,0.28219661110640387,0.1801956756227954,0.19639665938038522,0.2735356319297583,0.23432207779023462,0.32900626649519416,0.2512478489994342,0.5650505325804541,0.5907902135652254,0.5350529847158718,0.4950954792508456,0.5509006637433834,0.5716380511484233,0.45134048825872847,0.40912567163598634,0.4331921700590934,0.457542580708739,0.38057271037480056,0.36899765866149387,0.4263396803571275,0.4821574436870349,0.5795804036541823,0.6407530168540136,0.6658745517217849,0.7591251576149592,0.7675694636594642,0.85734630164005,0.9779809956214867
