,CZ010,CZ020,CZ031,CZ032,CZ041,CZ042,CZ051,CZ052,CZ053,CZ063,CZ064,CZ071,CZ072,CZ080,PL21,PL22,PL41,PL42,PL43,PL51,PL52,PL61,PL62,PL63,PL71,PL72,PL81,PL82,PL84,PL9,SE110,SE121,SE122,SE123,SE124,SE125,SE211,SE212,SE213,SE214,SE221,SE224,SE231,SE232,SE311,SE312,SE313,SE321,SE322,SE331,SE332
CZ010,0.0,0.9538807379362911,0.9833914102144649,0.979870705358028,0.9830418904119124,0.944322236675967,0.9594059218150358,0.9651494206870785,0.9667463694960841,0.982143461799998,0.9371843733974853,0.9612623579758565,0.9519942893165155,0.9134778644219195,0.9968698840191802,1.0594439224589685,1.0425614909096799,0.9753348184114756,0.973633042311684,0.9933862480423676,0.9609161635197974,0.9679825643688009,0.9782146078515896,0.971735379658402,0.9753297550674993,0.9589486785454692,0.9815876323928237,0.9680528510446061,0.9780472323935432,1.2177665089175902,0.8833017921759081,0.9967510039212732,0.9987847365918059,0.9953463710008331,1.0036035707112767,0.9976579920972348,1.0020342776627578,1.0119073166374153,1.0110248704538543,1.019446032636367,1.0018103854684848,0.9520027483729147,0.992721910345283,0.9764491355714615,1.0119741951011059,1.0140338495057541,1.0118997579749374,1.015108398570651,1.0227892497356783,1.0166402311797083,1.0183289059039395
CZ020,0.9538807379362911,0.0,0.1321705173212371,0.14289410857200235,0.19491684710080376,0.09620937568460684,0.16789481237352782,0.1466156798246141,0.15329252301309607,0.1555587452087295,0.03325928996856111,0.13085687373062863,0.14071835300021057,0.04574546992542004,0.3888070931161928,0.6210772995454564,0.4061804848252039,0.07470363248824527,0.0612953734060008,0.2983671889901161,0.06281405907446386,0.14356712105541022,0.031999610248578114,0.18544582410642088,0.2206709555648454,0.014140837243133707,0.1542947433113435,0.15139350197668847,0.03554128470163739,0.7605204200489365,0.22044551637674503,0.18062723703055059,0.19660565147651424,0.1655747373695305,0.19605191291310306,0.20040719364827228,0.18517681131431507,0.21610079749520766,0.20805864334582944,0.2428425639894242,0.2221895146011642,0.009846372900709064,0.18915290707427768,0.0777371440041059,0.20164880113896352,0.20110034777911873,0.20074948001648427,0.2088875053461291,0.23078440302668393,0.20454776342615721,0.2087460833359547
CZ031,0.9833914102144649,0.1321705173212371,0.0,0.012620761438930263,0.06511008541147426,0.049896151061174766,0.04775455557506945,0.026254011960816198,0.030421748974985983,0.02468584719760636,0.10884021620942186,0.022378237302165434,0.03445653917454374,0.12559162115630768,0.520754668182779,0.75324073200055,0.5368487001529617,0.20283928602914564,0.07198059254192206,0.4296803930506974,0.0697244232308838,0.2746010967645096,0.15160067811220143,0.3166526339872804,0.35202333315267464,0.1183497042257516,0.28407017882702396,0.2825079935189563,0.10417872136200867,0.8913497483895001,0.34939228777111386,0.048479268894480766,0.06458213816832895,0.03344976313043191,0.06388139563796194,0.06853764238098012,0.0530409486857407,0.08393648014946527,0.0759380388463993,0.11067649605573973,0.09048019341582685,0.14200997002199173,0.05747530502964361,0.20573310554068935,0.06970277747352144,0.06934458252129434,0.06882471092503624,0.07695158802277059,0.0987664515279904,0.07290290892150594,0.0770838297997483
CZ032,0.979870705358028,0.14289410857200235,0.012620761438930263,0.0,0.05297530626739796,0.05567960389886459,0.035699052293433065,0.016233098259739398,0.018758248784652622,0.012703500728107648,0.11816218320237258,0.020524082995961198,0.02796659458508631,0.13348905419533236,0.531682717830227,0.7638917808818041,0.5482459480891334,0.214365429456525,0.08347176732422613,0.4408836168744606,0.08013081599566942,0.2858244666210848,0.16329801059471175,0.3278548581551166,0.3631956945561973,0.12924005659368448,0.29553651237280565,0.2937168958774549,0.11593726343346765,0.9027389909811849,0.3586868559069251,0.03824608179412272,0.05383131564075587,0.02449898266807155,0.05377254779836416,0.05753327106577372,0.043419332481471166,0.07382955255591248,0.06612185983956471,0.10026723764745601,0.07930005348304497,0.15270540155381687,0.04625904618097113,0.21728081356187479,0.06040640006880295,0.060386132819116506,0.05958221901237696,0.06759044117935742,0.0890778635388471,0.06405105185450245,0.06814961342658568
CZ041,0.9830418904119124,0.19491684710080376,0.06511008541147426,0.05297530626739796,0.0,0.10240957615119059,0.033001771968065564,0.049014321149480386,0.042364019234937086,0.04043629876024832,0.16831798031940698,0.06481340311032803,0.05874985422879659,0.180829914038703,0.5836141595675718,0.815297014664548,0.6008164352448383,0.2671371092010391,0.13633161315096423,0.49323617451220036,0.13214401507688478,0.3382610252235739,0.21619972767063272,0.3802452156451949,0.41553359378201843,0.18150080200214722,0.34822737453382435,0.34613204145113746,0.1688804850821657,0.9552725934980042,0.40760141685140716,0.02339982198320675,0.01600928935800094,0.03641931361178843,0.021206263734171713,0.014687407994618044,0.024886713424506834,0.031613608511798265,0.02837565563909448,0.0528856119398723,0.029585883034044243,0.2046617934413765,0.013027556698494142,0.2700680256479791,0.02903911754335436,0.031239115106367014,0.029059382142909283,0.03230890524755358,0.04651911687246597,0.033624790245950754,0.03537163164823271
CZ042,0.944322236675967,0.09620937568460684,0.049896151061174766,0.05567960389886459,0.10240957615119059,0.0,0.07269046433804592,0.053468360957513276,0.060062481073741396,0.06688941369930791,0.06668013841738979,0.037939563420249935,0.045100454798047716,0.07865889359923525,0.4827876920116688,0.7136411914040236,0.5016891975149429,0.17068503753613493,0.04879848918179646,0.3935128990664856,0.03784089060657606,0.23931833751027126,0.12237802310652639,0.28094423669698826,0.3159443684070277,0.0841475317952786,0.25043480584483074,0.24706790532567177,0.07863227297582114,0.8557248319437778,0.30521575972146936,0.0930706540615951,0.10752909018924481,0.0801646500561343,0.10836691510635718,0.11063071857485499,0.09862218626126577,0.12808952037425905,0.12083178507258446,0.15369371100540025,0.13134045777315265,0.1055225765222123,0.09932745102284729,0.17370530112184995,0.11561626916961265,0.11578837954337093,0.11483414958352814,0.1226882642687671,0.14367770823978068,0.11948057656481705,0.12351439126006693
CZ051,0.9594059218150358,0.16789481237352782,0.04775455557506945,0.035699052293433065,0.033001771968065564,0.07269046433804592,0.0,0.022990856166418952,0.017415976202334787,0.02834120457486565,0.13935589224835135,0.03758391132676303,0.027624376827523937,0.14997371899674738,0.5554546857562398,0.7862872396673627,0.573982809081159,0.2415764600413138,0.11239047706480063,0.46594947133326914,0.10598470831239784,0.3114239488655941,0.19160682405611473,0.3532070990995889,0.3883158345548278,0.1550570735798535,0.3221028354312846,0.31922437569135165,0.14506804319694794,0.9281783238189504,0.3768317596856419,0.03761021088604873,0.044322584019493926,0.037496252598206166,0.04777755859972374,0.04549579249302994,0.04326003834461839,0.06371628832244249,0.05872607378085536,0.0858372507873795,0.06244657530300808,0.17744717022710307,0.03634740737372651,0.24456249835078492,0.05657430111600283,0.05800993517504754,0.05617208158027495,0.06203553698568097,0.07912679268340449,0.06135459187533164,0.06434665910940976
CZ052,0.9651494206870785,0.1466156798246141,0.026254011960816198,0.016233098259739398,0.049014321149480386,0.053468360957513276,0.022990856166418952,0.0,0.006699624018653065,0.017879090927172648,0.11935255513744228,0.01585249339298222,0.013908596788242229,0.13205494996256598,0.5349877695806483,0.766425744237016,0.5527823256322159,0.21972018613466934,0.0898245981129606,0.44496162325021255,0.08414467155793207,0.29016163239364656,0.16937328750508412,0.3320614961813982,0.36727402819464283,0.13346977929429696,0.30051991711430354,0.2980003371573505,0.12255121436767287,0.9071354668273964,0.3586812731060819,0.04167046987122713,0.05468263672092176,0.032477174567227186,0.05618699995948047,0.05747806978334981,0.04763195464075968,0.07533379165078707,0.06854997098672344,0.10040822297510678,0.07788546954548863,0.15628436784892608,0.0463194576714123,0.2226879135000744,0.06413993563348258,0.06475017630585687,0.0634592785402603,0.07088219567831221,0.0910513301195166,0.06843893537522394,0.07222129574881483
CZ053,0.9667463694960841,0.15329252301309607,0.030421748974985983,0.018758248784652622,0.042364019234937086,0.060062481073741396,0.017415976202334787,0.006699624018653065,0.0,0.015429751041805193,0.1260408462544256,0.02255132140506615,0.01839063122302253,0.1385886158820425,0.5416862382587809,0.7731215266194592,0.5594513884292489,0.22632603367320683,0.09627124204333357,0.4516448928187702,0.09078059358599092,0.29683091205694867,0.17590717093735436,0.3387376358085194,0.37395555449687995,0.14012228867930374,0.30715846853911677,0.30467214167563916,0.12900359204703948,0.913812928803673,0.36527587472513545,0.036380105126183004,0.048590983103673775,0.029097374171033693,0.05039372146046547,0.05120940561441029,0.042415653190829496,0.06921805707152656,0.06264955475100789,0.09400962843571327,0.07135833760555817,0.16296732385747933,0.04017795668376082,0.2292904959910176,0.05856652070039878,0.05932731104896162,0.05792739926414992,0.06515008389724414,0.08495520671901452,0.06298750116285777,0.06666083935788668
CZ063,0.982143461799998,0.1555587452087295,0.02468584719760636,0.012703500728107648,0.04043629876024832,0.06688941369930791,0.02834120457486565,0.017879090927172648,0.015429751041805193,0.0,0.1305000588274772,0.029648163637350088,0.031787335570506114,0.14524088572894212,0.5443576381891732,0.7765173429877607,0.5609486921680276,0.22705803222018242,0.09615789031934684,0.4535841726072314,0.09277363227406733,0.298526635891153,0.17596389844022928,0.340555985080563,0.3758951694025203,0.1419263359554362,0.3082352387515831,0.30641852660662905,0.12858518975283278,0.9154421282833607,0.37090893356956345,0.026203873097674066,0.0413394379494847,0.014679984506934933,0.04162066629199425,0.04493365630753205,0.03174616720273087,0.061570325595771296,0.05406023742654648,0.08781341208714191,0.06663164908397094,0.1653642707720849,0.033619318786573475,0.22997130182623943,0.048728274017223634,0.048952291405314166,0.047950971868518204,0.05580500175988453,0.07698972749444508,0.052653407293318154,0.05665144823054842
