,PL21 - Małopolskie,PL22 - Śląskie,PL41 - Wielkopolskie,PL42 - Zachodniopomorskie,PL43 - Lubuskie,PL51 - Dolnośląskie,PL52 - Opolskie,PL61 - Kujawsko-Pomorskie,PL62 - Warmińsko-Mazurskie,PL63 - Pomorskie,PL71 - Łódzkie,PL72 - Świętokrzyskie,PL81 - Lubelskie,PL82 - Podkarpackie,PL84 - Podlaskie,PL9 - Mazowieckie,CZ010 - Prague,CZ020 - Central Bohemian,CZ031 - South Bohemian,CZ032 - Plzeň,CZ041 - Karlovy Vary,CZ042 - Ústí nad Labem,CZ051 - Liberec,CZ052 - Hradec Králové,CZ053 - Pardubice,CZ063 - Vysočina,CZ064 - South Moravian,CZ071 - Olomouc,CZ072 - Zlín,CZ080 - Moravian-Silesian,SE110 - Stockholm,SE121 - Uppsala,SE122 - Södermanland,SE123 - Östergötland,SE124 - Örebro,SE125 - Västmanland,SE211 - Jönköping,SE212 - Kronoberg,SE213 - Kalmar,SE214 - Gotland,SE221 - Blekinge,SE224 - Skåne,SE231 - Halland,SE232 - Västra Götaland,SE311 - Värmland,SE312 - Dalarna,SE313 - Gävleborg,SE321 - Västernorrland,SE322 - Jämtland,SE331 - Västerbotten,SE332 - Norrbotten
PL21 - Małopolskie,0.0,14.523169651419154,15.81701118162674,14.67737087061743,13.96798761018103,15.083477179895388,10.695670718924074,19.04140581682849,21.55168623394601,22.14736329247863,13.44763366539612,11.468155953186004,13.866833619349364,9.869183699591256,17.610320360386886,14.459317784871134,40.93724574395274,61.0384247687682,50.39143875092132,66.06122174329175,57.83979534971599,50.626886437609016,66.281735616952,82.46641957504185,64.56197506834167,51.75838314297052,38.44008285841576,48.81082076257931,51.30057352445201,50.237143152623666,25.90102309085515,22.35915397243837,22.253811394428745,29.146910700382378,27.51970039049967,23.77105642485708,25.472000314001356,23.628621966004903,19.858906956604116,16.74036925690892,13.892067589158163,33.43687571888616,31.89057828247927,28.461717840536068,21.247084746025056,18.580716097657792,28.78563739977111,26.408565719585294,28.491420117950213,23.385931010903086,32.577238896487394
PL22 - Śląskie,14.523169651419154,0.0,16.36687718610255,22.327288112492724,17.439273076530792,9.800555477452175,16.01478235671476,22.208032800861982,25.953557508034923,20.617227318968585,15.073138141006174,15.315068295601101,19.889277337084973,16.14493315867859,23.234606351199172,17.131511293078095,30.093881984038596,49.15439031629281,39.29038890863752,48.81333478266972,42.77535665249631,40.63230278597988,52.562055079872884,64.38441639772432,50.06366399718418,43.99824308102216,32.51615102217899,40.11197314098229,47.55844103761787,42.6190649843787,25.65765966770395,27.35832328384563,22.82869169712116,26.694991785199733,24.108256794261543,23.092068842706986,30.951233110832344,23.942728764025272,21.037052786640793,24.087907563255577,19.525667292333743,26.470611463944085,30.638564707983623,35.12985173774288,20.65815792507896,21.263287778593597,24.64618167370929,21.021529536546176,27.583651222896638,23.456116730894784,31.75806893632692
PL41 - Wielkopolskie,15.81701118162674,16.36687718610255,0.0,14.666138436690787,13.989983961382093,10.925623042405089,13.654482290797574,14.826597984246124,15.373950220752329,12.423036598971972,11.409964262291007,14.756736941782174,15.309060833217362,13.770003526686727,18.643067255437675,13.613702239298354,28.030782771796993,46.97411045418979,37.367261199322584,48.87990909572852,43.77336542018211,33.070649916458606,50.19039745648216,66.18771692952026,47.40624172498117,42.83484170878577,26.13625823475298,32.972232563300125,39.64327735945938,36.36804976218701,21.05745423372157,21.050609071796373,23.000212096808703,24.374224608259954,19.05893329611938,22.1919031168062,35.27486913460001,20.33575516989224,18.14215896217503,19.76541491788287,16.838496891521903,25.722417101373836,30.608116135366302,28.781120153713868,20.456302438549045,17.855176589536462,25.151210293969417,17.499811481298185,26.369357357786573,21.684963512736406,28.04798700161177
PL42 - Zachodniopomorskie,14.67737087061743,22.327288112492724,14.666138436690787,0.0,10.446839339373803,17.26675688083126,9.746443202164889,11.563614870470127,9.387984716383462,11.316764776638971,12.931996257655621,15.647407482673609,9.743778157903412,12.464589041882054,10.424022031034982,13.777935975738332,37.05034362465499,53.95960580255292,44.062477872139965,60.3304372241954,57.384979462006456,42.086442141769616,62.11401954470635,77.55183803116779,57.83732679389004,44.10508996259378,30.444645432536202,37.81207624658567,39.779460741760374,41.542804977842316,16.996480157909748,19.208367981809335,21.47374172299895,22.331330413129866,20.480093525079578,15.904237236247221,25.434960716117608,19.038189425294057,19.176994678058907,17.731170066126673,14.159961154168018,22.03567798240573,27.18977682493707,20.878502245700368,18.450260165794216,14.239826180425226,30.66919345755541,22.61599511683243,20.61164334781577,13.227547620447908,22.44643422814628
PL43 - Lubuskie,13.96798761018103,17.439273076530792,13.989983961382093,10.446839339373803,0.0,14.04540756815337,12.143816188583786,9.897950995219334,11.06385596410699,10.137952388941164,11.416251848102753,12.812576030918777,12.856660964305238,13.264988059316734,12.767625090239145,11.507201781658049,32.76619700875384,51.74008527806335,40.36874845111647,51.973242601102726,51.01044040561609,38.91668818362282,61.528574146797375,72.75076571725928,56.15064744972815,46.062764884503316,27.403478852535372,35.87208002708233,41.53513091596699,42.77687908274243,19.35268748601045,19.69704559754991,19.07767111067873,21.550905953920687,18.93101974864832,19.262789385764645,27.083435759296385,19.47882877321704,12.090670440936615,20.50937752035544,15.197264769177893,25.312572002189516,22.348285798943902,23.376810119826526,16.440093574471145,15.897755268712691,24.115467148936748,21.131235497942434,21.38364745792706,14.848418737285513,23.00927236757304
PL51 - Dolnośląskie,15.083477179895388,9.800555477452175,10.925623042405089,17.26675688083126,14.04540756815337,0.0,14.135841269794469,16.63241771556803,20.04950893034574,16.383915134366763,12.690341082596545,12.278414786993359,15.382292586292431,13.22255381665382,19.051569952911326,15.096167566841034,28.73311971400466,48.06139498950737,37.7862427256295,48.70248315286477,44.105134114897346,37.86332278215212,52.07045061945398,65.90310279587423,49.17641588900797,44.5535059765661,29.938909062598086,34.658514559400984,44.85137298248329,40.71905243409041,23.81978789775667,27.36471069908211,21.008006528755768,28.577921298111107,21.869497283553347,23.893442157475363,30.58689695946331,24.072658204110514,20.882381678903236,24.71246247041813,16.749604980269417,27.357426130652346,30.24847149322474,34.919028457390596,18.269006288400508,20.407164442373713,25.113122540215038,21.71053510721421,27.551653338478225,22.097715883710027,29.15397407202592
PL52 - Opolskie,10.695670718924074,16.01478235671476,13.654482290797574,9.746443202164889,12.143816188583786,14.135841269794469,0.0,14.48271367695184,14.973225772151395,15.97954588008056,10.090471740691347,11.537144103614848,10.877468514512964,10.157909621872419,14.453025596217755,15.025050153818478,37.328862248662574,54.01238893574595,47.151810357165196,60.97467924219074,57.450518211743066,48.466061315281216,58.489190836102814,74.82287615136944,56.67036467210362,46.341504361924976,33.59918611829762,42.16049320849125,43.51156747041004,43.54726435712979,20.04894387675304,22.552217604695656,23.99637795265995,27.73289490009123,22.75274446663925,17.82022559817162,28.526846337360308,20.923540684222377,18.667359810384788,16.237611865880066,12.160623505239931,25.1122371354567,31.55810817471368,29.86630594045431,19.174477284108196,16.925342130638054,26.77099934306557,25.786534978192737,28.047907787973962,17.828700484814334,28.622067251668625
PL61 - Kujawsko-Pomorskie,19.04140581682849,22.208032800861982,14.826597984246124,11.563614870470127,9.897950995219334,16.63241771556803,14.48271367695184,0.0,8.673896813709858,9.833960737084645,14.593820009658812,21.79914490627854,15.144320857267802,18.07134276288411,15.382238657723049,14.002229448348526,32.01988645075688,47.14977611896949,36.1630038365629,49.60555466277345,47.366833740331536,35.283873704750114,54.34916751944753,67.36472296916737,48.98199706555111,37.95698553936338,24.06157497121786,33.10629691683798,36.99907341458958,36.06429019713674,19.393117125295447,19.53154001903138,22.312544471718418,21.497069641394745,21.109754378190853,20.000712376610494,25.540727445982185,18.82072250217933,16.728428193720795,23.002139998681553,18.924945500621458,22.720846641306338,24.9536980933644,21.680629371634936,21.787585534126592,17.715807110125507,26.186392610836524,17.255509080390038,21.0272373334212,16.78554867577482,24.085816911112445
PL62 - Warmińsko-Mazurskie,21.55168623394601,25.953557508034923,15.373950220752329,9.387984716383462,11.06385596410699,20.04950893034574,14.973225772151395,8.673896813709858,0.0,10.563241763345367,13.554807979359571,20.421504050184783,16.798062268946218,16.131273921132976,15.736372439764791,15.151613227812481,34.28360124427305,52.12442342171957,40.974575757377416,55.01472529451248,56.29370309635948,35.94856426823244,61.71347448669252,75.0224858330736,54.44787572970172,39.66530642405676,25.457569811808035,32.747747553865025,38.94425447014116,37.30552825031721,16.23635870952227,17.059013081186585,23.839823202890408,22.013245531729453,21.209675717707622,18.512154736825345,21.96003254335675,19.16848824938027,17.368973990698144,24.718806821702525,16.966639116690498,25.480409165258912,24.84694316892858,18.258410976832554,21.482105377870827,17.319332210186555,27.302382554272334,22.10953457105454,19.634183310979882,14.241155686415862,21.55585488725197
PL63 - Pomorskie,22.14736329247863,20.617227318968585,12.423036598971972,11.316764776638971,10.137952388941164,16.383915134366763,15.97954588008056,9.833960737084645,10.563241763345367,0.0,12.699745720022014,18.16818262769996,14.265248349742171,18.257183598755528,14.533563809183548,12.412960798664354,29.014644897120256,44.5116628217307,37.05266006653664,48.60718933014255,45.157230133861574,32.28037277434907,51.22276448113426,64.8769311625381,46.02169079705995,39.396424238783986,23.522390864871944,30.6362008451711,38.991772560207224,33.8672723538667,17.09747393969965,17.5893182748817,19.49295440062014,19.98525900087512,17.835158516304986,19.85716771873703,23.778297361911605,19.231343411379058,14.203677834678121,23.51081186756606,17.868545964330156,26.071004673829982,22.529745777934526,19.333287666797826,17.583113755796155,14.834420792126565,24.486724869405666,17.58468226759712,19.846486510129335,13.794347549672466,21.818220828398875
