,PL21 - Małopolskie,PL22 - Śląskie,PL41 - Wielkopolskie,PL42 - Zachodniopomorskie,PL43 - Lubuskie,PL51 - Dolnośląskie,PL52 - Opolskie,PL61 - Kujawsko-Pomorskie,PL62 - Warmińsko-Mazurskie,PL63 - Pomorskie,PL71 - Łódzkie,PL72 - Świętokrzyskie,PL81 - Lubelskie,PL82 - Podkarpackie,PL84 - Podlaskie,PL9 - Mazowieckie,CZ010 - Prague,CZ020 - Central Bohemian,CZ031 - South Bohemian,CZ032 - Plzeň,CZ041 - Karlovy Vary,CZ042 - Ústí nad Labem,CZ051 - Liberec,CZ052 - Hradec Králové,CZ053 - Pardubice,CZ063 - Vysočina,CZ064 - South Moravian,CZ071 - Olomouc,CZ072 - Zlín,CZ080 - Moravian-Silesian,SE110 - Stockholm,SE121 - Uppsala,SE122 - Södermanland,SE123 - Östergötland,SE124 - Örebro,SE125 - Västmanland,SE211 - Jönköping,SE212 - Kronoberg,SE213 - Kalmar,SE214 - Gotland,SE221 - Blekinge,SE224 - Skåne,SE231 - Halland,SE232 - Västra Götaland,SE311 - Värmland,SE312 - Dalarna,SE313 - Gävleborg,SE321 - Västernorrland,SE322 - Jämtland,SE331 - Västerbotten,SE332 - Norrbotten
PL21 - Małopolskie,0.0,207.2108520308929,147.73673698990785,267.82253177089507,187.98119214869246,163.99163693955956,177.08379290330356,243.96842754504576,259.3554397169939,197.05375269086053,99.59487278569614,82.94137843141101,199.30619817030527,107.91155237823466,215.17503214852593,257.4985846240023,727.7419402846439,912.3168887716408,642.640819945574,1176.002281574722,1077.0278559810633,667.8544292993304,949.0627157147594,1179.9567001626335,901.8792903263638,733.5114371235858,662.6924810429166,674.1449817075335,869.6326160291035,960.8439200633725,370.80024958058453,354.9633541932547,282.83578689929124,366.35371874288967,287.2553378190156,370.9719628351802,322.6464388992504,470.97847874088365,421.42893003976997,424.59373517753545,506.30223060849505,655.3339356096593,591.606346033074,408.29818706940205,362.41234107279865,324.04983790983067,801.9161620073728,459.76787241850656,384.0341633915889,386.8815765969997,374.7049960312964
PL22 - Śląskie,207.2108520308929,0.0,141.53563888721692,285.87404448582805,214.16972478999242,100.37826476528801,256.7770986957549,234.61343399908543,338.32217710677287,240.40936190902357,230.41299682875177,267.0173641602283,363.7576772872945,308.4839587815413,422.38588417941884,362.1658270104473,699.2495399104534,880.3082121786485,654.9386351219006,1147.5098812005315,1063.288802378056,635.8457527063381,920.5703153405689,1138.5560822394837,867.2107424707813,692.1108192004358,621.2918631197666,739.4630081490855,940.7166730200983,919.4433021402225,331.46432585155196,302.56361446669996,359.9030836642945,438.4990307034882,260.2504693717083,367.18812215529266,276.0132337115198,465.6498894168093,413.3224900491896,504.75135420832606,463.35881831990537,613.9333176865093,550.205728109924,365.35477478081236,453.1875157489025,361.5923813864484,749.5164222808181,407.3681326919518,389.029286979354,498.76141716149414,371.38082418631365
PL41 - Wielkopolskie,147.73673698990785,141.53563888721692,0.0,219.74742053154978,203.9862515317992,186.28257018595914,211.09617326024824,162.1756389702386,243.36150308595245,176.6890693223346,139.63918357297825,172.05669013940786,310.1391653009263,213.52328476072086,327.4252101585984,304.2474843418697,698.3789509458688,908.024389596434,638.3483207703671,1146.6392922359469,1040.7426498559205,663.5619301241236,919.6997263759844,1046.5934804228107,866.3401535061967,600.1482173837628,529.3292613030937,693.9055406984706,895.1592055694834,827.4807003235496,260.5174061177149,241.01512617275472,301.98474099571695,380.5806880349106,261.4188543348984,303.49706333449785,235.15900588155682,441.7979907684434,392.24844206732973,409.79068018750564,404.6623436980054,521.9707158698363,458.2431262932511,301.0321872443759,395.26917308032495,303.6740387178708,657.4976419324773,405.5798189963187,400.03922277469565,403.8007431406737,365.4480282330966
PL42 - Zachodniopomorskie,267.82253177089507,285.87404448582805,219.74742053154978,0.0,157.15825600476396,242.6548293944947,206.21982987238783,229.38759305492752,253.6708032225965,179.82644963859696,188.9249902731449,251.62864786285172,192.0829625580888,254.6323461692635,200.63515488380608,208.350196357164,703.7043727583829,930.015739250689,660.3396704246221,1151.964714048461,1014.1902309414418,685.5532797783785,925.0251481884984,958.3476585680887,871.6655753187107,655.6454757092841,514.3441627336726,736.4535696440648,937.7072345150777,709.6088548870398,232.5529845710989,230.88169166675803,224.40287791239876,342.5824750262638,276.3702305470639,278.7221602794482,242.8959898801667,449.5349747670533,399.9854260659396,220.61403049967578,308.629811877312,404.0988704333267,341.491866954585,206.35083609594355,301.2401761604866,246.76897926794717,534.0936302364778,419.6019623052672,308.24559519503,340.5417959451504,363.4308956037394
PL43 - Lubuskie,187.98119214869246,214.16972478999242,203.9862515317992,157.15825600476396,0.0,174.72509770419435,166.14712391538504,206.07806038477793,141.2864679745455,102.97694351929184,165.61545760299532,149.40547545023773,214.85987229851753,181.89309204997642,215.12672575102727,197.02641729715467,607.9771256293353,810.9471103455687,617.6048042753326,1056.2374669194135,1016.4063584250803,566.4846508732583,829.2979010594509,1085.879890991065,807.8024811547951,666.1132972115402,568.6156718713479,702.1291773025175,903.3828421735303,866.7671108918038,257.7333690829473,261.43727672022874,244.02203677964894,381.13701321297174,300.28274357081455,302.2105437510336,266.38437335175206,473.02335823863865,423.47380953752497,307.72599886940014,403.32098161538374,561.2571264380906,497.52953686150533,305.31693807629074,288.04810603560986,261.1441605740252,660.4343091859861,450.15754735873793,331.73397866661537,297.6581857425807,382.0160972166092
PL51 - Dolnośląskie,163.99163693955956,100.37826476528801,186.28257018595914,242.6548293944947,174.72509770419435,0.0,206.72209699349946,258.3157198402524,295.1029620154395,197.78861915155937,217.85311705846985,223.79814906889493,320.53846219596113,265.2647436902079,379.1666690880855,325.3470341710945,695.2759643770934,887.4396942659371,682.3470671496337,1143.5363056671715,1059.0789519556122,642.9772347936266,916.5967398072089,1143.0076398881108,864.9302300518411,696.5623768490631,625.7434207683939,766.8714401768186,968.1251050478314,923.8948597888498,315.3828529827524,292.2499315964175,323.0842908249417,401.6802378641354,256.2258282379356,323.9689070639593,274.13105629176044,439.94896915980365,390.39942045869,461.5321391169927,461.47664090014604,618.3848753351366,554.6572857585513,363.47259736105303,416.3687229095497,324.7735885470956,739.2027394105357,397.0544498216694,370.7780689470908,455.5422020701608,364.8563341335912
PL52 - Opolskie,177.08379290330356,256.7770986957549,211.09617326024824,206.21982987238783,166.14712391538504,206.72209699349946,0.0,197.04657876549896,285.0737941609558,201.7515892440112,138.37624588912945,148.51614398934944,168.65458318780117,223.95111011113397,172.44457209458602,293.94200475988646,760.6109505496295,961.4187301890483,691.7426613629814,1208.8712918397077,1067.1688595699322,716.9562707167379,981.9317259797451,1134.9414648586887,928.5721531099573,688.496201819641,617.6772457389718,629.1297464035887,826.6534576057675,915.8286847594277,294.0666107680299,279.67734886249906,291.6792614137337,370.27520845292736,262.7596424477425,281.4056098685194,266.5408024313364,446.48278336961056,396.9332346684969,295.17793390006443,453.88638703972197,610.3187003057145,546.5911107291292,355.88234350062896,384.9636934983417,293.36855913588755,726.6301566766172,412.85262545990275,348.31372741093946,393.7050165728632,362.5921663189922
PL61 - Kujawsko-Pomorskie,243.96842754504576,234.61343399908543,162.1756389702386,229.38759305492752,206.07806038477793,258.3157198402524,197.04657876549896,0.0,225.65385779774286,189.8221058120015,145.58678401428966,242.45539675596285,210.74758454098395,230.7782419434142,211.0144379934937,162.9881123967231,645.6858305949158,835.5524048782431,565.8763360521763,1093.9461718849939,977.0348992517676,591.0899454059327,867.0066060250313,937.8948860931898,813.6470331552437,491.449623054142,420.63066697347284,627.9927519410048,829.2464168120175,718.7821059939288,248.87772460657487,260.6680284201733,336.5647031980943,368.4710706542926,287.6168010121354,299.65946525179857,259.22072991564266,465.85971480252925,416.3101661014156,355.39039827305106,389.1060356448816,413.27212154021555,349.5445319636303,296.4807000331657,397.7937638689908,315.1350939480561,557.9477344623272,449.3882990586825,428.8031829324101,377.31890314288694,379.3534305451678
PL62 - Warmińsko-Mazurskie,259.3554397169939,338.32217710677287,243.36150308595245,253.6708032225965,141.2864679745455,295.1029620154395,285.0737941609558,225.65385779774286,0.0,114.96771614626562,240.568451224882,270.8583916305363,289.31321819940564,250.44761338109856,214.26131860504537,194.29466059108563,618.943512927875,676.3449360280924,674.7849634874635,936.9713549486619,961.4177416836562,560.8782334599082,710.0317890886993,945.328719880488,667.2513100442184,646.2708092980849,537.1999296042561,759.3093365146483,960.5630013856612,726.215939781227,276.6837047385187,312.6024210661466,277.77457428744617,400.08734886854313,329.7419269221113,315.2095918946776,279.3834214953961,486.02240638228267,436.472857681169,321.6968147044393,315.0980332881693,420.70595532751383,356.97836575092856,242.83826771117293,283.5048080055286,288.63285689304973,542.560722290379,501.32269170465577,344.7330268102594,198.58525625269294,380.92610565418545
PL63 - Pomorskie,197.05375269086053,240.40936190902357,176.6890693223346,179.82644963859696,102.97694351929184,197.78861915155937,201.7515892440112,189.8221058120015,114.96771614626562,0.0,157.2462463079374,197.4473353773796,270.2181944079735,189.07466638515803,270.48504786048323,127.55841501953515,578.5511512589997,759.6671409450371,634.3926018185881,1021.1048892130486,982.3733886886201,525.0464814741667,794.165323353086,982.902947471773,740.8057504832984,567.5258578435723,496.8075679353808,718.916974845773,920.1706397167858,763.790167372512,256.37568123782955,283.623261249557,242.66434893453118,379.77932536785397,298.9250557256968,294.3491148062303,258.5229444069488,465.1619292938354,415.6123805927217,363.0843209788561,352.513354814001,458.2801829187988,394.5525933422135,234.45162117612907,273.018588292074,259.7864727289074,630.1252649630636,472.3435318880662,323.8725497218121,312.7211965474303,371.8305960832263
