,PL21 - Małopolskie,PL22 - Śląskie,PL41 - Wielkopolskie,PL42 - Zachodniopomorskie,PL43 - Lubuskie,PL51 - Dolnośląskie,PL52 - Opolskie,PL61 - Kujawsko-Pomorskie,PL62 - Warmińsko-Mazurskie,PL63 - Pomorskie,PL71 - Łódzkie,PL72 - Świętokrzyskie,PL81 - Lubelskie,PL82 - Podkarpackie,PL84 - Podlaskie,PL9 - Mazowieckie,CZ010 - Prague,CZ020 - Central Bohemian,CZ031 - South Bohemian,CZ032 - Plzeň,CZ041 - Karlovy Vary,CZ042 - Ústí nad Labem,CZ051 - Liberec,CZ052 - Hradec Králové,CZ053 - Pardubice,CZ063 - Vysočina,CZ064 - South Moravian,CZ071 - Olomouc,CZ072 - Zlín,CZ080 - Moravian-Silesian,SE110 - Stockholm,SE121 - Uppsala,SE122 - Södermanland,SE123 - Östergötland,SE124 - Örebro,SE125 - Västmanland,SE211 - Jönköping,SE212 - Kronoberg,SE213 - Kalmar,SE214 - Gotland,SE221 - Blekinge,SE224 - Skåne,SE231 - Halland,SE232 - Västra Götaland,SE311 - Värmland,SE312 - Dalarna,SE313 - Gävleborg,SE321 - Västernorrland,SE322 - Jämtland,SE331 - Västerbotten,SE332 - Norrbotten
PL21 - Małopolskie,0.0,0.24312635962581605,0.3259589419765017,0.38200671624130234,0.4691167709806976,0.23748332924541757,0.38114086941432507,0.5396763411473495,0.4230658390851238,0.39109234679887855,0.4037024356432432,0.2773865893929149,0.35279927863719884,0.30568224524517146,0.29955665655212066,0.38227673348349567,0.6291873615379976,0.771687906408025,1.2836020261643977,1.465690641446161,2.6908754372217083,1.111356793581757,1.2537573284991017,1.2840870898090373,0.9379106565046352,0.6711988505031432,1.016132058316528,0.9337307192595465,0.6076500601943599,0.8722229135964733,1.1662756561673437,1.044861884423213,1.3208814239115436,1.0314214072758123,0.9999886924716438,1.0375379657470543,0.833329723130572,0.8862652259949212,0.7442486174802897,0.8120614501502406,0.6155869168361573,0.5154798286727416,0.5310611042167391,0.7277630814007221,0.8184773738110991,0.9630947091738206,0.9666196451390975,0.8674709195171806,1.0723537976562627,0.6301153196802084,0.6879066607545328
PL22 - Śląskie,0.24312635962581605,0.0,0.23803087049620614,0.34595343604662204,0.4876545568904012,0.20940759494676336,0.38178027454040697,0.4221866661215823,0.38266468425363104,0.3276804770853678,0.3268464946497231,0.2761132293461057,0.32343659879336356,0.27838442825097404,0.298784889983027,0.2650456144732417,0.47497009548991487,0.6063611532790345,1.0439840571286545,1.317005096580386,2.587336107780742,0.9438177551618335,1.0249053187301866,1.2923971464769242,0.7863462861885536,0.705734776476732,0.8909967580139463,0.8867683481277939,0.6486096028437224,0.7615738858171601,1.4352023355168004,1.1345278342450664,1.4210645288154087,1.07368972642764,1.2642004340124615,1.1636687205020992,0.9917916025276733,1.0798698483423361,0.8848151128783934,1.0113598111935418,0.7860809574523779,0.6927775210118824,0.6743683930562804,0.9002431473760821,0.896746259408187,1.0995096867644927,1.1857546584471768,1.0836881955019317,1.2140717927492788,0.6924298151294802,0.7868042974868864
PL41 - Wielkopolskie,0.3259589419765017,0.23803087049620614,0.0,0.2796944098400715,0.4167565508418,0.27093601775395537,0.3916472871231239,0.34405417984002096,0.3398951071825088,0.2825917350339177,0.3344959138227678,0.31555439129458857,0.27129254263190644,0.34094182774567483,0.289776717848042,0.25413645267010415,0.43382048690095354,0.5822472139564939,1.0090688805928758,1.2181572242260235,2.577766166523601,0.7975574662866621,0.9655820815212939,1.224764853162245,0.7557493015852238,0.6515513750705054,0.7212509044219108,0.6865149788617002,0.645886116548694,0.6229982612129222,1.4490975371973591,1.1859214161544285,1.3818632023949837,1.080912635357389,1.260884535943531,1.167078782048957,0.941064868452582,1.0656938788123678,0.8526422299156531,1.0120756637407977,0.747725185944247,0.6461595558477135,0.6879425182899014,0.8394016727502747,1.0245880079336624,1.1652987539996948,1.1163538159089261,1.0002821253366792,1.2902686210018128,0.8017343193221678,0.7554298509725018
PL42 - Zachodniopomorskie,0.38200671624130234,0.34595343604662204,0.2796944098400715,0.0,0.47494717479996124,0.31599166285473096,0.4531485777888181,0.3527804137096161,0.47019348195795496,0.32928134031295725,0.457181144417922,0.3368690055023586,0.2901120697602108,0.4542116882215021,0.29455186715195214,0.327745753463647,0.5420182052323468,0.9408228516575097,1.2252263215281354,1.4918529796658295,2.67436882526714,1.2361842735375435,1.167975019237517,1.2226082290135787,1.049782168794958,0.790408018037071,0.925475394013633,0.8064813509660705,0.7752878883445657,0.7987487138257429,1.45095857815917,1.1153354730052223,1.2674360425875968,1.0069454322777307,1.1222336953692242,1.1240836464967092,0.8511755930986374,0.9545621085644195,0.7414385367796694,0.8660101693305287,0.6589340717071537,0.6290473399804448,0.6409868670655399,0.8583417456113918,0.8827386514079382,1.0673090008216688,1.0601808250573135,0.9589240024300831,1.085165553318658,0.6441847994426774,0.7546726799967742
PL43 - Lubuskie,0.4691167709806976,0.4876545568904012,0.4167565508418,0.47494717479996124,0.0,0.496838160801104,0.5444627621194957,0.4443279118578613,0.3901403353970422,0.3980195214208561,0.4921420147013261,0.4560287527373731,0.41203932645674846,0.5551524080638947,0.3650462284276549,0.39428041652590157,0.49596720040118214,0.7488926448706626,1.0178860604442055,1.3140208360983603,2.3686876189738757,0.8941807587436654,0.9485198961225386,1.0899175945702189,0.8429412224060644,0.7606652785838358,0.8274761409752865,0.7253025621002925,0.7170965371104108,0.6984040264771597,1.60885318371879,1.4108199767352478,1.661368228436171,1.3488052154059504,1.2123481603849497,1.3885488076536487,1.120831284069744,1.1987360968025376,0.9610338683947731,0.99528273892826,0.9483236151015297,0.9564217524525324,0.9291379621246568,1.1733623764110537,1.168678192432845,1.3473954622358604,1.3382343221167268,1.1519229977996162,1.4056577096892713,0.9158573138143521,0.992060327175612
PL51 - Dolnośląskie,0.23748332924541757,0.20940759494676336,0.27093601775395537,0.31599166285473096,0.496838160801104,0.0,0.4095205607166503,0.42852517308409255,0.4065420683383276,0.2937078620452651,0.35176985380554887,0.23062790722324147,0.3433626866711636,0.30574803011908486,0.3010706397231469,0.2281332046414729,0.5101233983397998,0.7283289977030267,1.2245695881212477,1.4401208996077175,2.7235921599924082,1.1004779510260425,1.21584411507289,1.4658029262005086,0.8829520619251646,0.7510914377111471,1.0150854641682074,0.9366470989569872,0.7405401582854046,0.8526460708261325,1.282128248845517,0.990061084927223,1.3033299695574878,0.9436004246331475,1.009929687426594,1.0150437686774647,0.8090430948415994,0.9121129976012189,0.7470217851595051,0.8353017375260318,0.6885947612454764,0.5656379737443872,0.5420992141976255,0.7522374704185834,0.743624292754764,0.9672990649239446,1.0354219289534925,0.9788977094555944,1.0303591120855404,0.5423898498505837,0.6427356489733775
PL52 - Opolskie,0.38114086941432507,0.38178027454040697,0.3916472871231239,0.4531485777888181,0.5444627621194957,0.4095205607166503,0.0,0.5730023163082072,0.3933421021689973,0.47521766260550014,0.38672831155467496,0.43699639888606606,0.4036174979353625,0.33503772637813883,0.4511341936241959,0.44679531642690284,0.615686246936717,0.6651082279614376,1.0822607567176075,1.236947192110354,2.349298570514388,0.8681515813277736,1.0174976173243404,1.0810675851039364,0.8125757322795316,0.7034951133497553,0.819330336017336,0.7091152492759146,0.5517215385616693,0.632473241539105,1.197907704294735,1.180770137429336,1.4414146088288982,1.0973004457603925,1.1842876805861218,1.0989324874705342,0.8807395500654814,1.045317858431147,0.822610547897978,0.8608208978733725,0.7044395505212122,0.6298626108330359,0.7058343941572229,0.9360342546966564,0.9567723092740601,1.1337566060913031,0.917766157672404,0.8470271751193056,1.191230144390979,0.7962539769329542,0.7932912571027285
PL61 - Kujawsko-Pomorskie,0.5396763411473495,0.4221866661215823,0.34405417984002096,0.3527804137096161,0.4443279118578613,0.42852517308409255,0.5730023163082072,0.0,0.36449029185858073,0.36871626955607506,0.4890805784783835,0.3989861808757436,0.3594614082391684,0.45647475337583554,0.36883481541959834,0.39423119247308863,0.4396989086378393,0.46009895253745253,0.7507673434885239,0.9956470057401414,2.2662382379218937,0.6455661447986224,0.6234264524213472,1.0481676125322532,0.5557270211442119,0.5383975894010287,0.5709989013887162,0.6320237894692564,0.7011716486275802,0.5099006219399699,1.8969198347657856,1.566317989333195,1.7136909464890426,1.5332711982289187,1.5969417809313093,1.5055718101500188,1.1223409222189453,1.3313480526620836,1.1325418210422715,1.1669779706956596,0.9659783178306479,0.9303337762919934,0.9420141350531358,1.1683693078862183,1.4060512500070852,1.4123681610918655,1.3755705057861052,1.2516699544757461,1.6676973741202679,1.2314308644184768,1.062877077285863
PL62 - Warmińsko-Mazurskie,0.4230658390851238,0.38266468425363104,0.3398951071825088,0.47019348195795496,0.3901403353970422,0.4065420683383276,0.3933421021689973,0.36449029185858073,0.0,0.32462518727646505,0.4198906434519816,0.41694448029386355,0.2866433441334868,0.33883192405624935,0.39876996466170633,0.4185649836468768,0.5129085745812261,0.548059508594797,0.7355526681783846,1.105570000294524,2.3607311322226585,0.6632721110911933,0.8108632880452877,1.0030346735587243,0.6817224231775407,0.5468966125745777,0.5857296923587139,0.512167031089248,0.5300909518842021,0.5201545228349366,1.869879275371619,1.561819003313899,1.700920024840367,1.5154545060524092,1.5945961427185602,1.4971003376316088,1.1467463467763965,1.3083476328407104,1.1242191723986779,1.1264663359822578,0.9612227027678389,0.9506888308686318,0.9878995665262504,1.244912890277646,1.3865672001462273,1.515506469296937,1.2550308366676521,1.085684852597625,1.6392108532716925,1.134690704499131,1.0429116123841344
PL63 - Pomorskie,0.39109234679887855,0.3276804770853678,0.2825917350339177,0.32928134031295725,0.3980195214208561,0.2937078620452651,0.47521766260550014,0.36871626955607506,0.32462518727646505,0.0,0.4456439702691523,0.37373289592703207,0.23996905342355265,0.4400731233843734,0.2887604684263594,0.273617501743869,0.4279817001882016,0.6826746888901336,1.0009178832545746,1.2879477900118375,2.601826166408339,0.8525627699543135,0.9941846445480533,1.3000011195030337,0.8458872862011332,0.759228089084226,0.7638025788170163,0.7191605203711955,0.6952174929167365,0.6086798031714802,1.5980900422302087,1.2493861679885743,1.4836122586217246,1.1430141974606605,1.240044905820309,1.332212042285518,1.0157043491053155,1.1743502479473067,0.9058495637379648,1.0920944847550116,0.8185706107840618,0.7781232517808052,0.7736180157364927,0.9834857929651616,1.1035094023189254,1.3265600805290105,1.28232372889176,1.085839639479446,1.3265249201943656,0.8837071732090839,0.8938299601304797
PL71 - Łódzkie,0.4037024356432432,0.3268464946497231,0.3344959138227678,0.457181144417922,0.4921420147013261,0.35176985380554887,0.38672831155467496,0.4890805784783835,0.4198906434519816,0.4456439702691523,0.0,0.40248438402642395,0.4299588217916746,0.35315382430105957,0.4390048035287097,0.38172712886692944,0.5541362227062847,0.5955413932668026,0.9574482604401312,1.2694835202327919,2.3916136667425807,0.8409863789047091,0.920972342537737,1.1077253385852897,0.8022085616919659,0.5861417337383271,0.733057347842612,0.6154067645406929,0.5756788505367165,0.6257187782892285,1.4483112523547514,1.1253898437180332,1.5168067399263598,1.0772413119115474,1.2117183180433981,1.1437761926754255,0.9463922564879264,1.036537840045878,0.8498423130911966,1.0948970553500326,0.8382138620970284,0.6571316472219532,0.697066649561608,0.8728672100687279,0.9117940021176643,1.1624879105515817,1.0819303190679395,0.9231839066945882,1.2285525032582492,0.7866297934447232,0.7939384836779169
PL72 - Świętokrzyskie,0.2773865893929149,0.2761132293461057,0.31555439129458857,0.3368690055023586,0.4560287527373731,0.23062790722324147,0.43699639888606606,0.3989861808757436,0.41694448029386355,0.37373289592703207,0.40248438402642395,0.0,0.36957015121970144,0.3773308266868289,0.34350953886236185,0.30899858028507804,0.4017995369961169,0.5946998251145171,1.0075252225010833,1.1800927036179243,2.4337116236415164,0.9884760897267096,0.8474480864519243,1.139795771306272,0.6945756370241447,0.7287610504565104,0.8628585220098907,0.8057272206114403,0.7573112284037614,0.7550458597965948,1.4435816908886308,1.1533368141052558,1.4333750000123515,1.108110860720619,1.152300659548218,1.1657395730597022,0.9659129363765683,1.1034918341476074,0.8841929311123421,0.9513303416306682,0.8079131507974882,0.696916646124769,0.6811388760556065,0.9261078453624872,0.9074496339232833,1.1610665444427897,1.2038833801914819,1.0996060495385802,1.1653336369364697,0.6794133660980132,0.7961936627421337
PL81 - Lubelskie,0.35279927863719884,0.32343659879336356,0.27129254263190644,0.2901120697602108,0.41203932645674846,0.3433626866711636,0.4036174979353625,0.3594614082391684,0.2866433441334868,0.23996905342355265,0.4299588217916746,0.36957015121970144,0.0,0.36699528922841745,0.29581406618163947,0.35775112745646526,0.4699863802541715,0.6847882869881549,0.960001343450711,1.3131079406685762,2.361687170334352,0.864926141982452,1.0199788449427027,1.105633785309656,0.809122449944213,0.6502704637339204,0.7391426159866332,0.6139142995109423,0.5462543811326728,0.5526237575354687,1.6387530324848523,1.3186567887493512,1.4648146898395686,1.2386335330136438,1.3557470711279644,1.3388343965460983,1.0032125880397655,1.1053627159304085,0.9319020108193201,1.0389625009716816,0.7436565137799868,0.8084851321313089,0.7862623157246437,1.0126154817435233,1.1883473860017995,1.2986808145116278,1.1805795073830183,1.0067593105245172,1.397060445911085,0.9195962327254863,0.9365380774961553
PL82 - Podkarpackie,0.30568224524517146,0.27838442825097404,0.34094182774567483,0.4542116882215021,0.5551524080638947,0.30574803011908486,0.33503772637813883,0.45647475337583554,0.33883192405624935,0.4400731233843734,0.35315382430105957,0.3773308266868289,0.36699528922841745,0.0,0.44517159971232806,0.3722772196651676,0.5070751298889445,0.4826805793242821,0.9674429479763689,1.050107471605765,2.2533604452677203,0.725721309162772,0.7590197315351366,1.0652380037331968,0.6344404286834199,0.5212714634941149,0.6865620088735719,0.7435992469810149,0.569890062655661,0.5979646948221671,1.577879899486359,1.3329546601929376,1.598031977982477,1.2798922600238232,1.4377491225784724,1.3757631375361206,1.1129043824012297,1.2090795110865475,1.0962004231118048,1.0296793958056023,0.9611535562756182,0.8564620073922544,0.8788246913599087,1.0983369388904332,1.1075601404776534,1.312917815388387,1.182412173183146,1.1262088589972026,1.3869016604292612,0.8715703671615341,0.9610332221968492
PL84 - Podlaskie,0.29955665655212066,0.298784889983027,0.289776717848042,0.29455186715195214,0.3650462284276549,0.3010706397231469,0.4511341936241959,0.36883481541959834,0.39876996466170633,0.2887604684263594,0.4390048035287097,0.34350953886236185,0.29581406618163947,0.44517159971232806,0.0,0.27435273374297386,0.48194009632590407,0.8551509740210933,1.1257215725647,1.470232473760791,2.7021553601810937,1.0363220249147833,1.2070954138168308,1.2664863245564253,0.9476944450771821,0.7688142142470178,0.8059006422914331,0.7449231724198208,0.6465156026429758,0.7591905493450731,1.4817094803632374,1.2759377787145232,1.4639991134612442,1.1767992809765457,1.1740529108102087,1.298393847540582,1.0100188408423567,1.1790756909768525,0.8705677008570679,1.113745702513901,0.8297775301074469,0.7520858960855892,0.756363283618174,0.9657742147111702,1.1102233943619593,1.2891407945208575,1.2412495346517267,1.0878505181107891,1.3237247130003342,0.8363256780298679,0.8707570553728317
