,PL21 - Małopolskie,PL22 - Śląskie,PL41 - Wielkopolskie,PL42 - Zachodniopomorskie,PL43 - Lubuskie,PL51 - Dolnośląskie,PL52 - Opolskie,PL61 - Kujawsko-Pomorskie,PL62 - Warmińsko-Mazurskie,PL63 - Pomorskie,PL71 - Łódzkie,PL72 - Świętokrzyskie,PL81 - Lubelskie,PL82 - Podkarpackie,PL84 - Podlaskie,PL9 - Mazowieckie,CZ010 - Prague,CZ020 - Central Bohemian,CZ031 - South Bohemian,CZ032 - Plzeň,CZ041 - Karlovy Vary,CZ042 - Ústí nad Labem,CZ051 - Liberec,CZ052 - Hradec Králové,CZ053 - Pardubice,CZ063 - Vysočina,CZ064 - South Moravian,CZ071 - Olomouc,CZ072 - Zlín,CZ080 - Moravian-Silesian,SE110 - Stockholm,SE121 - Uppsala,SE122 - Södermanland,SE123 - Östergötland,SE124 - Örebro,SE125 - Västmanland,SE211 - Jönköping,SE212 - Kronoberg,SE213 - Kalmar,SE214 - Gotland,SE221 - Blekinge,SE224 - Skåne,SE231 - Halland,SE232 - Västra Götaland,SE311 - Värmland,SE312 - Dalarna,SE313 - Gävleborg,SE321 - Västernorrland,SE322 - Jämtland,SE331 - Västerbotten,SE332 - Norrbotten
PL21 - Małopolskie,0.0,7.064985554778605,6.246960835095834,6.645596444843525,8.089904243001103,4.17692425374148,5.769476656603717,7.66194105082215,6.460376364564832,5.060692239779302,8.302291790474957,5.318834224285411,4.985957622623566,4.443320021597914,4.32294680769927,5.197175943955861,11.129167108257029,14.210731082059816,15.83352947507284,25.439837025450586,43.904123174731204,14.272030898487014,20.225637444476856,16.791716251718924,17.433152907268266,11.61653014114052,9.904970259160969,10.912182807984738,13.05761530615425,15.638034873708676,15.657048667505185,9.204159584199509,17.021950305418613,10.1712724602513,9.921401443882445,16.498128491469117,9.485135574405176,9.592540055361,9.445343539400733,10.585248611019688,11.263330227891604,9.85946808850126,9.493572977062675,9.832010120069269,10.119422616270324,10.153556996816706,15.690987497248134,9.092142540504007,11.88987308968878,9.113231653384336,10.185397355686671
PL22 - Śląskie,7.064985554778605,0.0,5.1827320127522105,6.546620625172008,6.612631994024334,5.856987158810684,6.785828739265857,6.668662166019395,8.913135340821718,6.677652881810438,6.769438648949523,7.550810653440644,6.9507556559666535,4.333539597485219,7.100670528087442,6.67942106388453,11.862899476395558,11.74289596873679,18.95554451771063,23.72418891175129,43.4694804404831,12.556382784787719,17.75780233115383,16.357073517470823,15.71750479356897,14.099166521437951,11.15701388635005,12.188951105541719,13.19534288842301,14.105181732183242,15.29433987162583,12.350595388335606,16.65924150953926,12.84013867439292,12.2738710296194,16.019698618724572,13.364207549484089,12.921555512132658,12.284577700932648,12.238829292467148,13.28772120599417,13.406217702028444,13.315189039634818,12.639552775413714,12.49790368905658,11.830684756344855,14.213715248271367,12.283920105974001,13.914264067791345,13.914264067791345,13.114561557125313
PL41 - Wielkopolskie,6.246960835095834,5.1827320127522105,0.0,5.195285310463295,6.346311057940362,4.774371378989043,6.233792935788786,4.7143605321142,5.818009522913909,4.821045602774633,4.34192755904919,5.19009881732715,3.855629838058845,4.919225846932059,5.590800524559353,4.95727778979371,9.64983616060087,12.731400134403657,19.728835496055833,23.747694668596814,43.08397245833278,13.443853358186008,18.746306496820697,15.971565535320503,15.741010550414495,14.126004258854763,11.826167183255333,12.21578884295853,13.222180625839822,11.644824460846365,15.171390511861201,9.255469570427797,16.536292149774628,9.745012856485111,9.17874521171159,16.215642967772276,10.26908173157628,9.82642969422485,9.189451883024839,10.214877868905997,10.19259538808636,10.311091884120636,10.22006322172701,9.544426957505905,9.402777871148771,9.173088213182751,9.518940057908788,9.188794288066193,10.819138249883537,10.819138249883537,10.019435739217505
PL42 - Zachodniopomorskie,6.645596444843525,6.546620625172008,5.195285310463295,0.0,5.454239612198565,5.831539590250113,10.311940571519932,6.5231218989016755,5.381326406799435,3.475930397225911,4.510792696626108,7.111647392156645,5.653155314900788,5.838357422381756,5.458984927993575,4.9632165758182065,10.25860731654393,13.340171290346717,19.3103882184083,24.417672213820754,43.00307476712227,14.73589224353736,19.355077652763757,15.890667844109988,16.410988095638434,15.794425933813223,14.427078607726136,13.884210517916989,14.890602300798282,10.55310690110916,15.775650892838739,6.9780460044464965,17.140552530752167,6.642997616373089,7.159266314852233,16.55910572326079,7.167066491464258,6.724414454112827,6.087436642912817,6.5093926592819535,7.558284572808975,7.209076644008614,7.118047981614988,6.442411717393882,6.414376961187694,9.028843682934792,13.055322866445596,6.14907757205577,8.648084001444502,7.717123009771514,6.917420499105482
PL43 - Lubuskie,8.089904243001103,6.612631994024334,6.346311057940362,5.454239612198565,0.0,6.341493477837706,8.230356122012397,6.668308456947582,7.16992945968888,5.861888298876348,5.26087910492169,7.0330422252324185,5.767301953446839,6.762169254837327,5.66041098530336,6.800221197698979,8.458666594911705,10.051756214613636,16.32591440570809,22.074100011985216,41.12956549617843,11.620507821060201,16.066662577030677,14.017158573166151,14.067415893802895,14.914955098417101,12.345494158218601,13.004739682520867,14.01113146540216,12.59662218815541,15.775650892838739,9.176874012906987,17.140552530752167,9.435905792909066,9.688839708401126,16.676031829469448,9.959974668000235,10.008445583279995,9.371467772079985,11.001154138938682,9.883488324510317,10.275373616420254,9.910956158150965,10.247915647988263,9.230703665520226,9.959364483215438,14.586495928962128,9.236779112794785,11.001154138938682,10.510031186307492,10.601302883605666
PL51 - Dolnośląskie,4.17692425374148,5.856987158810684,4.774371378989043,5.831539590250113,6.341493477837706,0.0,5.970498078845904,6.564106351438783,6.344651293969514,4.743152576333914,6.610307984838666,4.799083743946577,4.536028518046207,5.30606691706176,3.473611231280296,3.990244742124752,9.001035410644668,12.082599384447455,18.512616105524224,24.544590038760973,43.89073947553219,15.357769861909517,18.097505746864496,16.77833255251991,16.537905920578652,14.807320626974871,11.86516799188697,12.897105211078635,13.90349699395993,13.946051068072386,15.32802439789537,7.260591557402059,16.692926035808796,6.983151515582236,7.056791620678522,16.435002178346096,7.712948835947301,7.835136430527939,7.305527244232626,7.609650414037292,7.981658964036865,7.549230543217761,7.458201880824135,6.90176892261608,7.004768646579918,8.581217187991422,13.942576732084738,7.664839433843467,8.057276908980661,8.057276908980661,7.257574398314629
PL52 - Opolskie,5.769476656603717,6.785828739265857,6.233792935788786,10.311940571519932,8.230356122012397,5.970498078845904,0.0,6.693279654654573,8.691235786842162,7.450502562054143,9.362048300939824,6.764268287418719,4.658785256619144,5.585456027536371,4.99568476837145,6.983219211293808,10.63744946904907,13.719013442851857,16.256594152719988,25.365866134587503,43.323453866523074,14.578433845028476,19.733919805268897,16.350350150849152,17.35918201640518,12.544818256323603,9.602665621235703,10.63460284042737,11.640994623308663,12.882901104387601,15.173247907329543,9.783736783357597,16.53814954524297,9.428086515497842,11.210870652690907,15.973228346375386,11.00029314077135,12.159756627958762,11.221577324004155,10.975027920368921,12.224720829065678,10.327965023634144,11.35524009914787,10.854278601888273,12.296372601009427,11.955936258544288,11.353818403547711,11.020118733875774,12.650462695693118,11.914454216875443,11.051057674361054
PL61 - Kujawsko-Pomorskie,7.66194105082215,6.668662166019395,4.7143605321142,6.5231218989016755,6.668308456947582,6.564106351438783,6.693279654654573,0.0,6.330775925140535,5.1430430017818525,4.920917651535663,6.962877626701694,5.7471802289446865,6.883487690158246,5.912797923566573,6.012715971177622,8.021552353373702,10.020294551654757,22.070079947113793,22.733361969361333,41.68588893393992,12.515939954414453,16.035200914071797,17.48705899170889,14.726677851179014,16.083427804448046,14.167411634313293,14.17321238855181,15.528207072338269,10.775188799114161,15.488048014892607,10.503554094783146,16.852949652806036,10.596880990135515,10.575271191235899,16.24462751255025,10.787472585158943,11.456181304854256,11.048759713139582,11.887585621773455,10.829638443057082,11.161805099255027,10.090360537303876,11.134347130823036,10.748001115486874,10.845795966050211,11.191647810776246,9.394433026117715,11.887585621773455,10.415568664138103,11.487734366440439
PL62 - Warmińsko-Mazurskie,6.460376364564832,8.913135340821718,5.818009522913909,5.381326406799435,7.16992945968888,6.344651293969514,8.691235786842162,6.330775925140535,0.0,4.743031632427805,5.345345832132202,7.68432471175349,4.032450530223018,6.334204691494489,4.72894852918544,6.403035966308342,6.891579993228262,9.090415037527572,18.986303739785043,22.504088233277017,42.3762418852181,12.013952146880834,15.105321399944613,15.263834962205822,14.497404115094696,15.581439996914426,12.806373823048366,13.671224581018192,14.677616363899485,9.7451514259283,15.775650892838739,7.881275900264765,17.140552530752167,7.968579793741972,10.376207930796745,16.676031829469448,7.651862235582337,11.579573382973296,10.386914602109993,9.099275878236407,11.390058107171516,8.171350854182107,10.775056854162404,9.327562285307101,11.510011654580909,10.488702627185493,10.242047892138205,7.940741064425329,11.252133420616119,9.996252262770117,9.217642181637578
PL63 - Pomorskie,5.060692239779302,6.677652881810438,4.821045602774633,3.475930397225911,5.861888298876348,4.743152576333914,7.450502562054143,5.1430430017818525,4.743031632427805,0.0,4.042469102312216,6.521972847248231,3.5820848732278243,6.08573557482376,2.7910717489344465,3.162897487317072,8.362838260728758,11.444402234531545,19.524133352047883,23.154710967861426,41.30884066488471,13.394493614784142,17.459308596948585,14.94111239664298,15.148026849679106,14.241936545172779,11.621465039247385,12.331721129276545,13.338112912157838,10.825912306747078,15.73231789172508,7.192051305079233,17.097219529638508,6.947999593294146,7.354285792194069,16.63269882835579,7.566487186117113,8.32388668377781,7.219186604289155,8.666600222731626,8.063509515842146,7.940819700213196,7.519370154966918,7.913361731781207,8.254324955385423,8.985510681821133,13.46297155312338,7.711513657629056,8.666600222731626,7.236611185980907,8.266748967398609
PL71 - Łódzkie,8.302291790474957,6.769438648949523,4.34192755904919,4.510792696626108,5.26087910492169,6.610307984838666,9.362048300939824,4.920917651535663,5.345345832132202,4.042469102312216,0.0,7.603228366354502,4.860896397020265,7.3645470986162005,5.251439199582169,6.65306671083043,9.799613397859485,12.881177371662272,20.458402384580406,24.44667314498191,42.84654132646495,13.902447843714148,18.896083734079312,15.8753814291755,16.43998902679959,15.339291988082367,13.477186337146028,13.429076572186133,14.435468355067426,9.922994094489582,15.61524043455809,8.78280587964609,16.98014207247152,9.272349165703405,10.470596562017018,16.5156213711888,9.796418040794574,9.353766003443143,10.481303233330266,9.183498736567127,11.484446738391789,9.83842819333893,9.747399530945303,9.071763266724199,8.930114180367065,10.374673507316889,11.863045726576257,8.716130597284486,11.346522051836391,10.34647455910183,9.546772048435798
PL72 - Świętokrzyskie,5.318834224285411,7.550810653440644,5.19009881732715,7.111647392156645,7.0330422252324185,4.799083743946577,6.764268287418719,6.962877626701694,7.68432471175349,6.521972847248231,7.603228366354502,0.0,6.8512917153339385,4.378922941887239,7.225417852330468,6.58003088060616,10.668452412269072,12.197067812672962,15.953572531136912,24.71112304499674,43.869630596008165,13.543316918033169,18.211974175090003,16.75722367299588,16.70443892681442,12.097221895594908,10.879406323624924,10.213119383864282,12.358551882033796,14.938971449588221,15.696107725159354,11.092079588038116,17.061009363072785,10.99263166950944,11.195774768959401,16.51694549411068,11.85193198422818,11.416025602325181,11.444510392513505,12.408734157983869,11.225389122431004,11.68295363546544,11.252856956071653,11.655495667033449,11.143751794860798,11.366944502260623,14.63412547947945,9.982958519372685,12.408734157983869,11.483927744819342,12.008882902650852
PL81 - Lubelskie,4.985957622623566,6.9507556559666535,3.855629838058845,5.653155314900788,5.767301953446839,4.536028518046207,4.658785256619144,5.7471802289446865,4.032450530223018,3.5820848732278243,4.860896397020265,6.8512917153339385,0.0,4.179746683757785,3.505256133290227,5.000408460066301,8.555354216132692,11.636918189935479,16.322899718169104,23.78914566294583,41.8021780830154,13.593813479528876,17.65182455235252,14.68977116000312,15.78246154476351,13.552567524154638,10.610414889066737,11.642352108258404,12.648743891139697,10.65207725108511,15.588711069702505,9.19964790993222,16.953612707615935,8.796764421975645,8.54689340560679,16.676031829469448,8.89578602562325,10.176945876731255,8.070835501125078,8.839930276088928,9.916568708795591,8.84993417606202,9.372429347920363,8.735866622610509,10.107384148338868,9.086075120943452,12.289075517176876,8.09052684126679,10.515365051413125,8.984862324266459,8.516108774748044
PL82 - Podkarpackie,4.443320021597914,4.333539597485219,4.919225846932059,5.838357422381756,6.762169254837327,5.30606691706176,5.585456027536371,6.883487690158246,6.334204691494489,6.08573557482376,7.3645470986162005,4.378922941887239,4.179746683757785,0.0,5.329776164708837,6.326318607276141,8.664648374979901,11.326021830339924,16.98442399311442,22.639671110097332,43.23346504064452,11.47186498313376,17.340928192756962,16.121058117632238,14.632986991915011,11.931236695003376,9.527591973908725,10.021021279107142,11.603101539496311,14.183521107050737,15.493650551618325,10.066734262095714,16.858552189531753,11.30041512357158,11.050544107202725,16.441031545119102,10.790901351512897,10.898305832468722,10.574486202721014,11.89101438812741,12.392472891211884,11.16523386560898,10.622715640382955,11.13777589717699,11.248565279590604,11.282699660136986,14.363252509084358,9.758327829374371,13.01901575300906,10.716012966375688,11.491163132794393
